Category: All categories

DMA,calfresh: (6/1/22 - 6/30/22)
Fresno-Visalia CA,100
Chico-Redding CA,96
Eureka CA,91
Bakersfield CA,81
Sacramento-Stockton-Modesto CA,72
Monterey-Salinas CA,68
San Diego CA,63
Los Angeles CA,58
Santa Barbara-Santa Maria-San Luis Obispo CA,55
San Francisco-Oakland-San Jose CA,42
Palm Springs CA,26
Yuma AZ-El Centro CA,23
Medford-Klamath Falls OR,14
Honolulu HI,8
West Palm Beach-Ft. Pierce FL,8
San Antonio TX,3
Cincinnati OH,3
Phoenix AZ,2
Columbus OH,2
Seattle-Tacoma WA,1
Denver CO,1
Washington DC (Hagerstown MD),1
Tampa-St. Petersburg (Sarasota) FL,1
Boston MA-Manchester NH,1
Chicago IL,1
New York NY,<1
Mankato MN,
Cheyenne WY-Scottsbluff NE,
Rockford IL,
Bluefield-Beckley-Oak Hill WV,
Grand Junction-Montrose CO,
Elmira NY,
Butte-Bozeman MT,
Twin Falls ID,
Beaumont-Port Arthur TX,
Minot-Bismarck-Dickinson(Williston) ND,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
Sherman TX-Ada OK,
Peoria-Bloomington IL,
Jackson MS,
Roanoke-Lynchburg VA,
Flint-Saginaw-Bay City MI,
Augusta GA,
Rochester NY,
Boise ID,
Huntsville-Decatur (Florence) AL,
Savannah GA,
Richmond-Petersburg VA,
Nashville TN,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Ft. Myers-Naples FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Portland-Auburn ME,
Binghamton NY,
Macon GA,
Philadelphia PA,
Detroit MI,
Pittsburgh PA,
Ft. Wayne IN,
Cleveland-Akron (Canton) OH,
Baltimore MD,
Buffalo NY,
Erie PA,
Charlotte NC,
Greensboro-High Point-Winston Salem NC,
Charleston SC,
Providence RI-New Bedford MA,
Columbus GA,
Burlington VT-Plattsburgh NY,
Atlanta GA,
Albany GA,
Utica NY,
Indianapolis IN,
Miami-Ft. Lauderdale FL,
Louisville KY,
Tallahassee FL-Thomasville GA,
Tri-Cities TN-VA,
Albany-Schenectady-Troy NY,
Hartford & New Haven CT,
Orlando-Daytona Beach-Melbourne FL,
Youngstown OH,
Bangor ME,
Traverse City-Cadillac MI,
Lexington KY,
Dayton OH,
Springfield-Holyoke MA,
Norfolk-Portsmouth-Newport News VA,
Greenville-New Bern-Washington NC,
Columbia SC,
Toledo OH,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Syracuse NY,
Knoxville TN,
Lima OH,
Raleigh-Durham (Fayetteville) NC,
Jacksonville FL,
Charleston-Huntington WV,
Harrisburg-Lancaster-Lebanon-York PA,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
St. Louis MO,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Minneapolis-St. Paul MN,
Kansas City MO,
Milwaukee WI,
Houston TX,
Springfield MO,
New Orleans LA,
Dallas-Ft. Worth TX,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Monroe LA-El Dorado AR,
Birmingham AL,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Austin TX,
Harlingen-Weslaco-Brownsville-McAllen TX,
St. Joseph MO,
Jackson TN,
Memphis TN,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Oklahoma City OK,
Lubbock TX,
Omaha NE,
Panama City FL,
Green Bay-Appleton WI,
San Angelo TX,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Des Moines-Ames IA,
Davenport IA-Rock Island-Moline IL,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
North Platte NE,
Anchorage AK,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Colorado Springs-Pueblo CO,
Great Falls MT,
"Billings, MT",
Idaho Falls-Pocatello ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Salt Lake City UT,
Glendive MT,
Eugene OR,
Yakima-Pasco-Richland-Kennewick WA,
Reno NV,
Portland OR,
Bend OR,
Las Vegas NV,
Spokane WA,
