Category: All categories

DMA,food bank: (4/1/22 - 4/30/22)
Fairbanks AK,100
Ottumwa IA-Kirksville MO,94
Wichita Falls TX & Lawton OK,65
Casper-Riverton WY,64
Lima OH,63
Grand Junction-Montrose CO,59
Lubbock TX,53
Missoula MT,52
Eureka CA,50
San Antonio TX,49
Seattle-Tacoma WA,42
Parkersburg WV,39
Tucson (Sierra Vista) AZ,39
Victoria TX,38
Chico-Redding CA,37
Twin Falls ID,36
Yakima-Pasco-Richland-Kennewick WA,33
Boise ID,32
Lincoln & Hastings-Kearney NE,31
Butte-Bozeman MT,30
Anchorage AK,30
Odessa-Midland TX,29
St. Joseph MO,29
Chattanooga TN,28
Memphis TN,28
Tyler-Longview(Lufkin & Nacogdoches) TX,28
Corpus Christi TX,27
Salisbury MD,27
Phoenix AZ,27
Columbia-Jefferson City MO,27
Santa Barbara-Santa Maria-San Luis Obispo CA,26
Utica NY,26
Palm Springs CA,25
"Billings, MT",25
Lafayette IN,25
Houston TX,25
Beaumont-Port Arthur TX,25
Medford-Klamath Falls OR,24
Jonesboro AR,24
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,24
Lansing MI,24
Sioux City IA,24
Monterey-Salinas CA,24
Watertown NY,23
Ft. Smith-Fayetteville-Springdale-Rogers AR,23
Denver CO,23
Tulsa OK,23
Honolulu HI,23
Spokane WA,23
Erie PA,22
Johnstown-Altoona PA,22
Hattiesburg-Laurel MS,22
Portland OR,22
Pittsburgh PA,22
Sacramento-Stockton-Modesto CA,22
Great Falls MT,22
Cleveland-Akron (Canton) OH,22
Ft. Wayne IN,22
Waco-Temple-Bryan TX,21
Idaho Falls-Pocatello ID,21
Syracuse NY,21
Knoxville TN,21
Sherman TX-Ada OK,21
Marquette MI,20
Elmira NY,20
Bluefield-Beckley-Oak Hill WV,20
Springfield-Holyoke MA,20
South Bend-Elkhart IN,20
Harlingen-Weslaco-Brownsville-McAllen TX,20
Dayton OH,20
Oklahoma City OK,19
Eugene OR,19
Charleston SC,19
Colorado Springs-Pueblo CO,19
Harrisburg-Lancaster-Lebanon-York PA,19
San Francisco-Oakland-San Jose CA,19
Reno NV,19
Albany GA,19
Columbus OH,18
El Paso TX,18
Portland-Auburn ME,18
