Category: All categories

DMA,food pantry: (5/1/22 - 5/31/22)
St. Joseph MO,100
Mankato MN,53
Minot-Bismarck-Dickinson(Williston) ND,44
Marquette MI,39
Madison WI,38
Champaign & Springfield-Decatur IL,38
Davenport IA-Rock Island-Moline IL,37
Parkersburg WV,37
Rockford IL,36
Quincy IL-Hannibal MO-Keokuk IA,36
Amarillo TX,34
Fargo-Valley City ND,34
Des Moines-Ames IA,33
Abilene-Sweetwater TX,33
Ft. Smith-Fayetteville-Springdale-Rogers AR,33
Twin Falls ID,32
Columbus OH,32
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,31
Columbia-Jefferson City MO,31
Peoria-Bloomington IL,30
Bangor ME,29
Indianapolis IN,29
Binghamton NY,29
Columbus-Tupelo-West Point MS,28
Elmira NY,27
Portland-Auburn ME,27
Springfield MO,27
La Crosse-Eau Claire WI,27
Traverse City-Cadillac MI,26
Green Bay-Appleton WI,26
St. Louis MO,25
Dayton OH,25
Watertown NY,24
Utica NY,24
Albany-Schenectady-Troy NY,24
Cheyenne WY-Scottsbluff NE,23
Milwaukee WI,22
Rapid City SD,22
Tyler-Longview(Lufkin & Nacogdoches) TX,22
Harrisonburg VA,21
Ft. Myers-Naples FL,21
Oklahoma City OK,21
Omaha NE,21
Chicago IL,20
Wausau-Rhinelander WI,20
Memphis TN,20
Hattiesburg-Laurel MS,20
Richmond-Petersburg VA,19
Rochester NY,19
Gainesville FL,18
South Bend-Elkhart IN,18
Evansville IN,18
Tri-Cities TN-VA,18
Waco-Temple-Bryan TX,17
Kansas City MO,17
Tampa-St. Petersburg (Sarasota) FL,17
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,16
Lexington KY,16
Boston MA-Manchester NH,16
Hartford & New Haven CT,16
Providence RI-New Bedford MA,16
Rochester MN-Mason City IA-Austin MN,16
Buffalo NY,15
Roanoke-Lynchburg VA,15
Tulsa OK,15
Bluefield-Beckley-Oak Hill WV,15
Little Rock-Pine Bluff AR,15
Topeka KS,14
Beaumont-Port Arthur TX,14
Cincinnati OH,14
Salisbury MD,14
El Paso TX,14
Greenville-New Bern-Washington NC,13
Cleveland-Akron (Canton) OH,13
Corpus Christi TX,13
Medford-Klamath Falls OR,13
Lincoln & Hastings-Kearney NE,13
Missoula MT,13
Dallas-Ft. Worth TX,13
Greensboro-High Point-Winston Salem NC,13
Grand Rapids-Kalamazoo-Battle Creek MI,12
Sioux Falls(Mitchell) SD,12
Augusta GA,12
Salt Lake City UT,12
Toledo OH,12
Tallahassee FL-Thomasville GA,12
Bakersfield CA,11
Panama City FL,11
Wilkes Barre-Scranton PA,11
Syracuse NY,11
Norfolk-Portsmouth-Newport News VA,11
Raleigh-Durham (Fayetteville) NC,11
Johnstown-Altoona PA,10
Detroit MI,10
Reno NV,10
Sherman TX-Ada OK,10
Boise ID,10
West Palm Beach-Ft. Pierce FL,10
Jacksonville FL,10
Columbia SC,10
Portland OR,9
Lansing MI,9
New York NY,9
Orlando-Daytona Beach-Melbourne FL,9
Huntsville-Decatur (Florence) AL,9
Savannah GA,9
Youngstown OH,9
Eugene OR,9
Philadelphia PA,8
Houston TX,8
Mobile AL-Pensacola (Ft. Walton Beach) FL,8
Louisville KY,8
Albuquerque-Santa Fe NM,8
Flint-Saginaw-Bay City MI,8
Atlanta GA,8
Colorado Springs-Pueblo CO,8
Monterey-Salinas CA,8
Tucson (Sierra Vista) AZ,8
Shreveport LA,8
Austin TX,7
Harlingen-Weslaco-Brownsville-McAllen TX,7
Montgomery (Selma) AL,7
Harrisburg-Lancaster-Lebanon-York PA,7
Baltimore MD,7
Knoxville TN,7
Las Vegas NV,7
Nashville TN,7
San Antonio TX,7
Charlottesville VA,7
Santa Barbara-Santa Maria-San Luis Obispo CA,7
Lafayette LA,7
Charlotte NC,6
Birmingham AL,6
Greenville-Spartanburg SC-Asheville NC-Anderson SC,6
Burlington VT-Plattsburgh NY,6
Washington DC (Hagerstown MD),6
Spokane WA,6
Phoenix AZ,6
Charleston-Huntington WV,6
Chattanooga TN,6
San Francisco-Oakland-San Jose CA,6
Wilmington NC,6
Chico-Redding CA,6
Fresno-Visalia CA,6
Yakima-Pasco-Richland-Kennewick WA,5
Pittsburgh PA,5
Minneapolis-St. Paul MN,5
Honolulu HI,5
San Diego CA,5
Denver CO,5
Sacramento-Stockton-Modesto CA,5
Los Angeles CA,4
Jackson MS,4
Miami-Ft. Lauderdale FL,3
Seattle-Tacoma WA,3
Florence-Myrtle Beach SC,3
Greenwood-Greenville MS,
Helena MT,
Dothan AL,
Meridian MS,
Macon GA,
Ft. Wayne IN,
Erie PA,
Charleston SC,
Columbus GA,
Albany GA,
Springfield-Holyoke MA,
Presque Isle ME,
Wheeling WV-Steubenville OH,
Lima OH,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Zanesville OH,
Clarksburg-Weston WV,
Joplin MO-Pittsburg KS,
New Orleans LA,
Sioux City IA,
Victoria TX,
Wichita Falls TX & Lawton OK,
Monroe LA-El Dorado AR,
Ottumwa IA-Kirksville MO,
Odessa-Midland TX,
Jackson TN,
Lake Charles LA,
Alexandria LA,
Lubbock TX,
San Angelo TX,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Baton Rouge LA,
Jonesboro AR,
Bowling Green KY,
North Platte NE,
Anchorage AK,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Idaho Falls-Pocatello ID,
Casper-Riverton WY,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Glendive MT,
Eureka CA,
Palm Springs CA,
Bend OR,
