Category: All categories

DMA,food stamp: (3/1/22 - 3/31/22)
Alexandria LA,100
Monroe LA-El Dorado AR,99
Lake Charles LA,91
Montgomery (Selma) AL,82
Lafayette LA,82
Dothan AL,79
Greenwood-Greenville MS,65
Lexington KY,63
Shreveport LA,60
Meridian MS,60
Birmingham AL,59
New Orleans LA,56
Hattiesburg-Laurel MS,55
Biloxi-Gulfport MS,54
Baton Rouge LA,50
Joplin MO-Pittsburg KS,50
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,47
Terre Haute IN,46
South Bend-Elkhart IN,46
Mobile AL-Pensacola (Ft. Walton Beach) FL,44
Columbus GA,44
Memphis TN,43
Jackson MS,42
Columbus-Tupelo-West Point MS,41
Louisville KY,41
Albany GA,40
Charleston-Huntington WV,40
Evansville IN,39
Beaumont-Port Arthur TX,39
Indianapolis IN,37
Huntsville-Decatur (Florence) AL,36
Gainesville FL,34
Wheeling WV-Steubenville OH,34
Bowling Green KY,33
Springfield MO,33
"Billings, MT",32
Wichita Falls TX & Lawton OK,31
Chattanooga TN,30
Lubbock TX,30
Tri-Cities TN-VA,29
Knoxville TN,27
Nashville TN,26
Greenville-New Bern-Washington NC,26
Tallahassee FL-Thomasville GA,26
Abilene-Sweetwater TX,25
Victoria TX,25
Amarillo TX,23
St. Joseph MO,23
St. Louis MO,22
Florence-Myrtle Beach SC,22
Augusta GA,22
Colorado Springs-Pueblo CO,22
Grand Junction-Montrose CO,21
Corpus Christi TX,21
Eugene OR,20
Savannah GA,20
Kansas City MO,20
Atlanta GA,19
Jacksonville FL,19
Medford-Klamath Falls OR,19
Salisbury MD,19
Tyler-Longview(Lufkin & Nacogdoches) TX,19
Oklahoma City OK,18
Sioux City IA,17
Bangor ME,17
Binghamton NY,17
Macon GA,17
Toledo OH,17
Houston TX,17
Quincy IL-Hannibal MO-Keokuk IA,16
Bakersfield CA,16
Waco-Temple-Bryan TX,16
Wausau-Rhinelander WI,16
Orlando-Daytona Beach-Melbourne FL,15
Little Rock-Pine Bluff AR,15
Cincinnati OH,15
Harrisonburg VA,15
West Palm Beach-Ft. Pierce FL,15
Johnstown-Altoona PA,15
Dallas-Ft. Worth TX,14
Greenville-Spartanburg SC-Asheville NC-Anderson SC,14
San Antonio TX,13
Jonesboro AR,13
Greensboro-High Point-Winston Salem NC,13
Springfield-Holyoke MA,13
Tampa-St. Petersburg (Sarasota) FL,13
Dayton OH,13
Charlotte NC,13
Ft. Smith-Fayetteville-Springdale-Rogers AR,13
Ft. Wayne IN,13
Miami-Ft. Lauderdale FL,12
Columbia SC,12
Albuquerque-Santa Fe NM,12
Panama City FL,12
Chico-Redding CA,12
El Paso TX,11
Erie PA,11
Tulsa OK,11
Wichita-Hutchinson KS,11
Portland OR,11
Elmira NY,11
Raleigh-Durham (Fayetteville) NC,11
Wilkes Barre-Scranton PA,11
Hartford & New Haven CT,11
Honolulu HI,11
Harlingen-Weslaco-Brownsville-McAllen TX,10
Las Vegas NV,10
Harrisburg-Lancaster-Lebanon-York PA,10
Spokane WA,10
Boise ID,10
Ft. Myers-Naples FL,10
Anchorage AK,10
Bend OR,10
Providence RI-New Bedford MA,10
Baltimore MD,10
Lincoln & Hastings-Kearney NE,9
Buffalo NY,9
Palm Springs CA,9
Richmond-Petersburg VA,9
Green Bay-Appleton WI,9
Burlington VT-Plattsburgh NY,9
Albany-Schenectady-Troy NY,9
Philadelphia PA,9
Odessa-Midland TX,9
Duluth MN-Superior WI,9
Charlottesville VA,9
Davenport IA-Rock Island-Moline IL,8
Champaign & Springfield-Decatur IL,8
Cleveland-Akron (Canton) OH,8
Pittsburgh PA,8
Lansing MI,8
Youngstown OH,8
Fresno-Visalia CA,8
Des Moines-Ames IA,8
Milwaukee WI,8
Charleston SC,8
Sacramento-Stockton-Modesto CA,7
Portland-Auburn ME,7
Grand Rapids-Kalamazoo-Battle Creek MI,7
