Category: All categories

DMA,supplemental nutrition assistance program: (2/1/22 - 2/28/22)
Knoxville TN,100
Greenville-Spartanburg SC-Asheville NC-Anderson SC,54
Atlanta GA,41
Tampa-St. Petersburg (Sarasota) FL,18
Seattle-Tacoma WA,14
Dallas-Ft. Worth TX,12
Washington DC (Hagerstown MD),11
San Francisco-Oakland-San Jose CA,10
New York NY,8
Los Angeles CA,6
Juneau AK,
Zanesville OH,
Casper-Riverton WY,
Alexandria LA,
Greenwood-Greenville MS,
Marquette MI,
Eureka CA,
Sioux City IA,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
Salisbury MD,
Syracuse NY,
Idaho Falls-Pocatello ID,
Monterey-Salinas CA,
Green Bay-Appleton WI,
Davenport IA-Rock Island-Moline IL,
Ft. Myers-Naples FL,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Lincoln & Hastings-Kearney NE,
El Paso TX,
Corpus Christi TX,
Albany-Schenectady-Troy NY,
Youngstown OH,
Shreveport LA,
Des Moines-Ames IA,
Greenville-New Bern-Washington NC,
Springfield MO,
Savannah GA,
Birmingham AL,
West Palm Beach-Ft. Pierce FL,
San Antonio TX,
Austin TX,
Portland-Auburn ME,
Binghamton NY,
Macon GA,
Philadelphia PA,
Detroit MI,
Boston MA-Manchester NH,
Pittsburgh PA,
Ft. Wayne IN,
Cleveland-Akron (Canton) OH,
Baltimore MD,
Flint-Saginaw-Bay City MI,
Buffalo NY,
Cincinnati OH,
Erie PA,
Charlotte NC,
Greensboro-High Point-Winston Salem NC,
Charleston SC,
Augusta GA,
Providence RI-New Bedford MA,
Columbus GA,
Burlington VT-Plattsburgh NY,
Albany GA,
Utica NY,
Indianapolis IN,
Miami-Ft. Lauderdale FL,
Louisville KY,
Tallahassee FL-Thomasville GA,
Tri-Cities TN-VA,
Hartford & New Haven CT,
Orlando-Daytona Beach-Melbourne FL,
Columbus OH,
Bangor ME,
Rochester NY,
Traverse City-Cadillac MI,
Lexington KY,
Dayton OH,
Springfield-Holyoke MA,
Norfolk-Portsmouth-Newport News VA,
Columbia SC,
Toledo OH,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Wheeling WV-Steubenville OH,
Richmond-Petersburg VA,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Raleigh-Durham (Fayetteville) NC,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Harrisburg-Lancaster-Lebanon-York PA,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Parkersburg WV,
Clarksburg-Weston WV,
Chicago IL,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
St. Louis MO,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Minneapolis-St. Paul MN,
Kansas City MO,
Milwaukee WI,
Houston TX,
New Orleans LA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Monroe LA-El Dorado AR,
Ottumwa IA-Kirksville MO,
Odessa-Midland TX,
Amarillo TX,
Harlingen-Weslaco-Brownsville-McAllen TX,
St. Joseph MO,
Jackson TN,
Memphis TN,
Lafayette LA,
Lake Charles LA,
Champaign & Springfield-Decatur IL,
Evansville IN,
Oklahoma City OK,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Nashville TN,
San Angelo TX,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Minot-Bismarck-Dickinson(Williston) ND,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Honolulu HI,
Fairbanks AK,
Biloxi-Gulfport MS,
Laredo TX,
Denver CO,
Colorado Springs-Pueblo CO,
Phoenix AZ,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
Helena MT,
Salt Lake City UT,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Glendive MT,
Bakersfield CA,
Eugene OR,
Palm Springs CA,
Yakima-Pasco-Richland-Kennewick WA,
Reno NV,
Medford-Klamath Falls OR,
Portland OR,
Bend OR,
San Diego CA,
Las Vegas NV,
Santa Barbara-Santa Maria-San Luis Obispo CA,
Sacramento-Stockton-Modesto CA,
Fresno-Visalia CA,
Chico-Redding CA,
Spokane WA,
