Category: All categories

DMA,Supplemental Nutrition Assistance Program: (3/1/22 - 3/31/22)
Alexandria LA,100
Lafayette LA,91
Monroe LA-El Dorado AR,88
Lake Charles LA,83
Baton Rouge LA,71
Shreveport LA,66
Albany GA,61
Zanesville OH,56
New Orleans LA,55
Joplin MO-Pittsburg KS,54
Dothan AL,51
Terre Haute IN,50
Lima OH,50
Montgomery (Selma) AL,49
Greenwood-Greenville MS,47
Alpena MI,46
Beaumont-Port Arthur TX,46
Presque Isle ME,45
Jackson TN,44
Charleston-Huntington WV,43
Abilene-Sweetwater TX,43
Lexington KY,42
Victoria TX,42
Elmira NY,41
Utica NY,41
Helena MT,40
Tallahassee FL-Thomasville GA,40
Memphis TN,39
Birmingham AL,39
Parkersburg WV,39
Columbus GA,39
Wheeling WV-Steubenville OH,38
Biloxi-Gulfport MS,38
Eureka CA,37
St. Joseph MO,37
Mobile AL-Pensacola (Ft. Walton Beach) FL,36
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,36
Gainesville FL,36
Macon GA,35
Jackson MS,35
Tri-Cities TN-VA,35
Corpus Christi TX,35
Watertown NY,34
Tyler-Longview(Lufkin & Nacogdoches) TX,34
Huntsville-Decatur (Florence) AL,34
Tulsa OK,34
Louisville KY,34
Bluefield-Beckley-Oak Hill WV,34
Amarillo TX,33
Sherman TX-Ada OK,33
Jacksonville FL,33
Chattanooga TN,32
Salisbury MD,32
Evansville IN,32
"Billings, MT",32
Bowling Green KY,32
Meridian MS,31
Oklahoma City OK,31
Columbus-Tupelo-West Point MS,31
Juneau AK,31
San Angelo TX,31
Youngstown OH,31
Laredo TX,31
Springfield MO,30
Panama City FL,30
Chico-Redding CA,30
Eugene OR,29
Medford-Klamath Falls OR,29
Florence-Myrtle Beach SC,29
Hattiesburg-Laurel MS,29
Augusta GA,29
Columbia SC,29
Wichita Falls TX & Lawton OK,28
Albany-Schenectady-Troy NY,28
Indianapolis IN,28
Johnstown-Altoona PA,28
Quincy IL-Hannibal MO-Keokuk IA,28
El Paso TX,27
