State,Company,City,Number of Workers,Received Date,Effective Date,Layoff/Closure,Temporary/Permanent,Union,Region,County,Industry,Notes
California,Zymergen Inc.,5300 Chiron Way Emeryville CA 94608,29,01/18/2023,03/15/2023,Layoff Permanent,,,,Alameda County,,
California,Radial,2101 Flotilla St. Montebello CA 90640,13,01/18/2023,03/31/2023,Closure Permanent,,,,Los Angeles County,,
California,Intel Corporation,2200 Mission College Boulevard Santa Clara CA 95054,201,01/18/2023,01/31/2023,Layoff Permanent,,,,Santa Clara County,,
California,Intel Corporation,1900 Prairie City Drive Folsom CA 95630,167,01/18/2023,03/15/2023,Layoff Permanent,,,,Sacramento County,,
California,Intel Corporation,1900 Prairie City Drive Folsom CA 95630,176,01/18/2023,01/31/2023,Layoff Permanent,,,,Sacramento County,,
California,"eShares, Inc. dba Carta, Inc.","333 Bush Street, Floor 23, Suite 2300 San Francisco CA 94104",60,01/18/2023,01/15/2023,Layoff Permanent,,,,San Francisco County,,
California,Unity Technologies,30 3rd Street San Francisco CA 94103,53,01/17/2023,03/17/2023,Layoff Permanent,,,,San Francisco County,,
California,OA Logistics,2222 Beamer Street Woodland CA 95776,90,01/17/2023,03/11/2023,Closure Permanent,,,,Yolo County,,
California,The Bungalow Kitchen,6400 E. Pacific Coast Highway Long Beach CA 90803,86,01/13/2023,03/14/2023,Closure Permanent,,,,Los Angeles County,,
California,"LendingClub Bank, N.A","595 Market Street, Suite 200 San Francisco CA 94105",68,01/13/2023,01/13/2023,Layoff Permanent,,,,San Francisco County,,
California,"LendingClub Bank, N.A.","595 Market Street, Suite 200 San Francisco CA 94105",8,01/13/2023,02/17/2023,Layoff Permanent,,,,San Francisco County,,
California,"LendingClub Bank, N.A.","595 Market Street, Suite 200 San Francisco CA 94105",4,01/13/2023,02/25/2023,Layoff Permanent,,,,San Francisco County,,
California,"Rainberry, Inc.",222 Kearny Street San Francisco CA 94108,92,01/13/2023,03/15/2023,Closure Permanent,,,,San Francisco County,,
California,Accenture,34750 Campus Drive Fremont CA 94555,1,01/12/2023,03/13/2023,Layoff Permanent,,,,Alameda County,,
California,Accenture,34800 Campus Drive Fremont CA 94555,1,01/12/2023,03/13/2023,Layoff Permanent,,,,Alameda County,,
California,The Vons Companies Inc.,710 Broadway Santa Monica CA 90401,83,01/12/2023,02/25/2023,Closure Permanent,,,,Los Angeles County,,
California,Verily Life Sciences LLC,269 E. Grand Avenue South San Francisco CA 94080,119,01/12/2023,03/12/2023,Layoff Permanent,,,,San Mateo County,,
California,"NH Research, LLC",16601 Hale Avenue Irvine CA 92606,3,01/12/2023,03/13/2023,Layoff Permanent,,,,Orange County,,
California,"NH Research, LLC",16601 Hale Avenue Irvine CA 92606,4,01/12/2023,07/05/2023,Layoff Permanent,,,,Orange County,,
California,"NH Research, LLC",16601 Hale Avenue Irvine CA 92606,44,01/12/2023,12/29/2023,Layoff Permanent,,,,Orange County,,
California,"Ryder Integrated Logistics, Inc.",6120 Clinker Dr. JURUPA VALLEY CA 92509,14,01/12/2023,03/12/2023,Closure Permanent,,,,Riverside County,,
California,"Specialized Bicycle Components, Inc.",15130 Concord Circle Morgan Hill CA 95037,80,01/12/2023,01/13/2023,Layoff Permanent,,,,Santa Clara County,,
California,"Beachbody, LLC",400 Continental Blvd. Suite 400 El Segundo CA 90245,80,01/12/2023,03/13/2023,Layoff Permanent,,,,Los Angeles County,,
California,Aspire Bakeries LLC dba La Brea Bakery Care in Downtown Disney,1556 Disneyland Drive Downtown Disneyland Park Anaheim CA 92802,96,01/11/2023,01/09/2023,Closure Permanent,,,,Orange County,,
California,Flexport,"12121 Bluff Creek Drive, Suite E250 Playa Vista CA 90094",43,01/11/2023,03/13/2023,Layoff Permanent,,,,Los Angeles County,,
California,"PreZero US Services, LLC",4350 Serrano Drive Jurupa Valley CA 91752,54,01/11/2023,03/09/2023,Closure Permanent,,,,Riverside County,,
California,"Tree Island Wire, Inc.",12459 Arrow Route Rancho Cucamonga CA 91739,12,01/11/2023,03/13/2023,Closure Permanent,,,,San Bernardino County,,
California,"Tree Island Wire, Inc.",12459 Arrow Route Rancho Cucamonga CA 91739,9,01/11/2023,03/31/2023,Closure Permanent,,,,San Bernardino County,,
California,"Tree Island Wire, Inc.",12459 Arrow Route Rancho Cucamonga CA 91739,5,01/11/2023,04/28/2023,Closure Permanent,,,,San Bernardino County,,
California,"Tree Island Wire, Inc.",12459 Arrow Route Rancho Cucamonga CA 91739,22,01/11/2023,06/15/2023,Closure Permanent,,,,San Bernardino County,,
California,"Ryder Integrated Logistics, Inc.",10886 Citrus Avenue Fontana CA 92337,19,01/11/2023,04/01/2023,Closure Permanent,,,,San Bernardino County,,
California,Orora Packaging Solutions dba Manufactured Packaging Products,644 N. Twin Oaks Valley Road San Marcos CA 92069,47,01/11/2023,03/10/2023,Closure Permanent,,,,San Diego County,,
California,"Scale AI, Inc.","155 5th Street, 6th Floor San Francisco CA 94103",1,01/11/2023,12/23/2022,Layoff Permanent,,,,San Francisco County,,
California,"Scale AI, Inc.","155 5th Street, 6th Floor San Francisco CA 94103",54,01/11/2023,01/09/2023,Layoff Permanent,,,,San Francisco County,,
California,"Scale AI, Inc.","155 5th Street, 6th Floor San Francisco CA 94103",2,01/11/2023,01/19/2023,Layoff Permanent,,,,San Francisco County,,
California,"Scale AI, Inc.","155 5th Street, 6th Floor San Francisco CA 94103",1,01/11/2023,02/09/2023,Layoff Permanent,,,,San Francisco County,,
California,"Scale AI, Inc.","155 5th Street, 6th Floor San Francisco CA 94103",8,01/11/2023,03/10/2023,Layoff Permanent,,,,San Francisco County,,
California,"Scale AI, Inc.","155 5th Street, 6th Floor San Francisco CA 94103",2,01/11/2023,03/31/2023,Layoff Permanent,,,,San Francisco County,,
California,Flexport,"760 Market Street, 8th Floor San Francisco CA 94102",120,01/11/2023,03/13/2023,Layoff Permanent,,,,San Francisco County,,
California,Phillips 66,2555 Willow Road Arroyo Grande CA 93420,45,01/11/2023,01/07/2023,Closure Permanent,,,,San Luis Obispo County,,
California,"Land O&rsquo;Lakes, Inc.",855 E Levin Avenue Tulare CA 93274,1,01/11/2023,02/10/2023,Closure Permanent,,,,Tulare County,,
California,Arris Composites,745 Heinz Avenue Berkeley CA 94710,1,01/10/2023,11/07/2022,Layoff Permanent,,,,Alameda County,,
California,Arris Composites,765 Heinz Avenue Berkeley CA 94710,1,01/10/2023,11/07/2022,Layoff Permanent,,,,Alameda County,,
California,Arris Composites,715 Dwight Way Berkeley CA 94710,1,01/10/2023,11/07/2022,Layoff Permanent,,,,Alameda County,,
California,Arris Composites,710 Bancroft Way Berkeley CA 94710,62,01/10/2023,11/07/2022,Layoff Permanent,,,,Alameda County,,
California,Jabil Inc.,122 Lindbergh Avenue Livermore CA 94551,39,01/10/2023,03/07/2023,Layoff Permanent,,,,Alameda County,,
California,Jabil Inc.,4050 Technology Place Fremont CA 94538,166,01/10/2023,03/07/2023,Layoff Permanent,,,,Alameda County,,
California,Piedmont Airlines Inc. at Long Beach Airport,4100 Donald Douglas Drive Long Beach CA 90808,43,01/10/2023,02/28/2023,Closure Permanent,,,,Los Angeles County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,1 Hacker Way Menlo Park-1 hacker CA 94025,34,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
