State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,"RateGenius Loan Services, Inc.",Austin,139,1/12/23,1/11/23,,,,Capital Area WDA,Travis,,
Texas,Ryder Inc.,Austin,801,1/11/23,3/18/23,,,,Capital Area WDA,Travis,,
Texas,TUSimple,Dallas,76,1/10/23,12/21/23,,,,Dallas County WDA,Dallas,,
Texas,Southwest Key Programs-Casa Blanca,San Antonio,85,1/9/23,2/14/23,,,,Alamo WDA,Bexar,,
Texas,Information Technology Coalition Inc. (Irving),Irving,370,1/5/23,1/31/23,,,,Dallas County WDA,Dallas,,
Texas,"Monitronics International, Inc. dba Brinks Home",Dallas,20,1/6/23,3/3/23,,,,Dallas County WDA,Dallas,,
Texas,HII Mission Technologies,San Antonio,68,12/21/22,2/28/23,,,,Alamo WDA,Bexar,,
Texas,American General Life Insurance Company,Amarillo,461,12/2/22,2/1/23,,,,Panhandle WDA,Potter,,
Texas,Catalent Cell Therapy,Webster,77,11/22/22,1/15/23,,,,Gulf Coast WDA,Harris,,
Texas,Home Point Financial Corporation,Dallas,49,11/18/22,11/18/22,,,,Dallas County WDA,Collin,,
Texas,"Bedding Acquisition, LLC",Grand Prairie,95,11/18/22,1/16/23,,,,Tarrant County WDA,Tarrant,,
Texas,"Meta Platforms, Inc. (West 3rd)",Austin,154,11/16/22,1/13/23,,,,Capital Area WDA,Travis,,
Texas,"Meta Platforms, Inc, (Alterra Pkwy.)",Austin,7,11/16/22,1/13/23,,,,Capital Area WDA,Travis,,
Texas,"Meta Platforms, Inc. (Mcallen Pass)",Austin,11,11/16/22,1/13/23,,,,Capital Area WDA,Travis,,
Texas,"Meta Platforms, Inc.(W,6th)",Austin,50,11/16/22,1/13/23,,,,Capital Area WDA,Travis,,
Texas,Hill Defense and Federal Solutions,San Antonio,134,11/8/22,12/12/22,,,,Alamo WDA,Bexar,,
Texas,Sodexo - CHI Saint Luke's McNair,Houston,15,11/10/22,12/15/22,,,,Gulf Coast WDA,Harris,,
Texas,Sodexo - CHI St Luke's Baylor Medical Center,Houston,99,11/10/22,12/15/22,,,,Gulf Coast WDA,Harris,,
Texas,"COSMAX NBT USA, INC #1",Garland,36,11/11/22,10/28/22,,,,Dallas County WDA,Dallas,,
Texas,Hallmark Financial Services,Dallas,83,11/11/22,12/31/22,,,,Dallas County WDA,Dallas,,
Texas,iBio CDMO,Bryan,50,11/2/22,1/2/23,,,,Brazos Valley WDA,Brazos,,
Texas,"Argo AI, LLC. (Austin Congress)",Austin,10,10/27/22,11/1/22,,,,Capital Area WDA,Travis,,
Texas,"Argo AI, LLC. (Austin 7th Street)",Austin,68,10/27/22,11/1/22,,,,Capital Area WDA,Travis,,
Texas,"Westex Security Services, Inc.",Houston,7,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,DXP Enterprises,Houston,4,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,HJH Houston 1,Houston,1,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Jacob Engineering,Houston,3,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,"Sutton Court Homeowner's Association, Inc.",Houston,2,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Third Coast Terminals,Pearland,3,10/24/22,12/21/22,,,,Gulf Coast WDA,Brazoria,,
Texas,Center Point Towers,Houston,204,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
