Category: All categories

Week,Supplemental Nutrition Assistance Program: (Austin TX)
2019-01-06,56
2019-01-13,49
2019-01-20,26
2019-01-27,30
2019-02-03,31
2019-02-10,26
2019-02-17,18
2019-02-24,16
2019-03-03,17
2019-03-10,25
2019-03-17,20
2019-03-24,44
2019-03-31,29
2019-04-07,24
2019-04-14,19
2019-04-21,18
2019-04-28,16
2019-05-05,26
2019-05-12,21
2019-05-19,20
2019-05-26,18
2019-06-02,25
2019-06-09,40
2019-06-16,40
2019-06-23,18
2019-06-30,13
2019-07-07,23
2019-07-14,31
2019-07-21,27
2019-07-28,32
2019-08-04,28
2019-08-11,30
2019-08-18,18
2019-08-25,29
2019-09-01,24
2019-09-08,21
2019-09-15,28
2019-09-22,21
2019-09-29,36
2019-10-06,23
2019-10-13,8
2019-10-20,7
2019-10-27,15
2019-11-03,21
2019-11-10,17
2019-11-17,25
2019-11-24,15
2019-12-01,25
2019-12-08,20
2019-12-15,20
2019-12-22,20
2019-12-29,24
2020-01-05,29
2020-01-12,34
2020-01-19,15
2020-01-26,24
2020-02-02,31
2020-02-09,21
2020-02-16,22
2020-02-23,18
2020-03-01,23
2020-03-08,28
2020-03-15,54
2020-03-22,58
2020-03-29,89
2020-04-05,84
2020-04-12,72
2020-04-19,49
2020-04-26,45
2020-05-03,50
2020-05-10,46
2020-05-17,47
2020-05-24,40
2020-05-31,42
2020-06-07,47
2020-06-14,46
2020-06-21,47
2020-06-28,43
2020-07-05,39
2020-07-12,35
2020-07-19,35
2020-07-26,32
2020-08-02,55
2020-08-09,38
2020-08-16,53
2020-08-23,31
2020-08-30,27
2020-09-06,36
2020-09-13,33
2020-09-20,29
2020-09-27,43
2020-10-04,44
2020-10-11,35
2020-10-18,47
2020-10-25,46
2020-11-01,38
2020-11-08,47
2020-11-15,33
2020-11-22,19
2020-11-29,28
2020-12-06,30
2020-12-13,38
2020-12-20,26
2020-12-27,34
2021-01-03,40
2021-01-10,51
2021-01-17,41
2021-01-24,49
2021-01-31,49
2021-02-07,46
2021-02-14,36
2021-02-21,78
2021-02-28,56
2021-03-07,44
2021-03-14,29
2021-03-21,20
2021-03-28,40
2021-04-04,34
2021-04-11,17
2021-04-18,32
2021-04-25,25
2021-05-02,37
2021-05-09,16
2021-05-16,39
2021-05-23,100
2021-05-30,65
2021-06-06,59
2021-06-13,55
2021-06-20,54
2021-06-27,49
2021-07-04,46
2021-07-11,43
2021-07-18,49
2021-07-25,49
2021-08-01,51
2021-08-08,56
2021-08-15,76
2021-08-22,69
2021-08-29,55
2021-09-05,60
2021-09-12,42
2021-09-19,40
2021-09-26,40
2021-10-03,37
2021-10-10,34
2021-10-17,35
2021-10-24,48
2021-10-31,32
2021-11-07,32
2021-11-14,40
2021-11-21,28
2021-11-28,63
2021-12-05,42
2021-12-12,42
2021-12-19,26
2021-12-26,40
