Category: All categories

Week,Supplemental Nutrition Assistance Program: (San Antonio TX)
2019-01-06,39
2019-01-13,58
2019-01-20,32
2019-01-27,23
2019-02-03,24
2019-02-10,23
2019-02-17,23
2019-02-24,25
2019-03-03,26
2019-03-10,15
2019-03-17,20
2019-03-24,19
2019-03-31,28
2019-04-07,31
2019-04-14,18
2019-04-21,13
2019-04-28,24
2019-05-05,28
2019-05-12,18
2019-05-19,18
2019-05-26,17
2019-06-02,20
2019-06-09,20
2019-06-16,37
2019-06-23,26
2019-06-30,23
2019-07-07,27
2019-07-14,23
2019-07-21,25
2019-07-28,27
2019-08-04,29
2019-08-11,36
2019-08-18,26
2019-08-25,24
2019-09-01,28
2019-09-08,26
2019-09-15,20
2019-09-22,21
2019-09-29,25
2019-10-06,29
2019-10-13,20
2019-10-20,20
2019-10-27,30
2019-11-03,25
2019-11-10,21
2019-11-17,14
2019-11-24,13
2019-12-01,28
2019-12-08,22
2019-12-15,17
2019-12-22,14
2019-12-29,23
2020-01-05,35
2020-01-12,26
2020-01-19,22
2020-01-26,22
2020-02-02,21
2020-02-09,24
2020-02-16,16
2020-02-23,16
2020-03-01,15
2020-03-08,29
2020-03-15,52
2020-03-22,52
2020-03-29,58
2020-04-05,90
2020-04-12,78
2020-04-19,54
2020-04-26,43
2020-05-03,37
2020-05-10,61
2020-05-17,61
2020-05-24,37
2020-05-31,47
2020-06-07,54
2020-06-14,49
2020-06-21,41
2020-06-28,49
2020-07-05,48
2020-07-12,38
2020-07-19,43
2020-07-26,47
2020-08-02,36
2020-08-09,43
2020-08-16,33
2020-08-23,34
2020-08-30,35
2020-09-06,32
2020-09-13,25
2020-09-20,34
2020-09-27,37
2020-10-04,41
2020-10-11,39
2020-10-18,36
2020-10-25,35
2020-11-01,50
2020-11-08,49
2020-11-15,33
2020-11-22,23
2020-11-29,38
2020-12-06,35
2020-12-13,26
2020-12-20,22
2020-12-27,46
2021-01-03,37
2021-01-10,44
2021-01-17,54
2021-01-24,33
2021-01-31,43
2021-02-07,39
2021-02-14,38
2021-02-21,84
2021-02-28,45
2021-03-07,49
2021-03-14,27
2021-03-21,23
2021-03-28,30
2021-04-04,28
2021-04-11,33
2021-04-18,27
2021-04-25,26
2021-05-02,31
2021-05-09,23
2021-05-16,31
2021-05-23,100
2021-05-30,75
2021-06-06,41
2021-06-13,39
2021-06-20,55
2021-06-27,47
2021-07-04,52
2021-07-11,46
2021-07-18,50
2021-07-25,37
2021-08-01,53
2021-08-08,43
2021-08-15,65
2021-08-22,38
2021-08-29,50
2021-09-05,46
2021-09-12,44
2021-09-19,41
2021-09-26,47
2021-10-03,34
2021-10-10,42
2021-10-17,34
2021-10-24,33
2021-10-31,45
2021-11-07,32
2021-11-14,42
2021-11-21,30
2021-11-28,54
2021-12-05,36
2021-12-12,37
2021-12-19,34
2021-12-26,31
