Category: All categories

Week,Supplemental Nutrition Assistance Program: (Texas)
2019-01-06,49
2019-01-13,63
2019-01-20,40
2019-01-27,24
2019-02-03,24
2019-02-10,26
2019-02-17,28
2019-02-24,26
2019-03-03,25
2019-03-10,23
2019-03-17,21
2019-03-24,20
2019-03-31,24
2019-04-07,23
2019-04-14,18
2019-04-21,18
2019-04-28,23
2019-05-05,24
2019-05-12,23
2019-05-19,21
2019-05-26,23
2019-06-02,26
2019-06-09,26
2019-06-16,24
2019-06-23,25
2019-06-30,25
2019-07-07,29
2019-07-14,26
2019-07-21,28
2019-07-28,29
2019-08-04,28
2019-08-11,30
2019-08-18,26
2019-08-25,21
2019-09-01,28
2019-09-08,25
2019-09-15,26
2019-09-22,23
2019-09-29,26
2019-10-06,24
2019-10-13,22
2019-10-20,20
2019-10-27,22
2019-11-03,25
2019-11-10,25
2019-11-17,23
2019-11-24,16
2019-12-01,31
2019-12-08,25
2019-12-15,20
2019-12-22,18
2019-12-29,24
2020-01-05,27
2020-01-12,28
2020-01-19,23
2020-01-26,22
2020-02-02,24
2020-02-09,23
2020-02-16,21
2020-02-23,19
2020-03-01,23
2020-03-08,27
2020-03-15,61
2020-03-22,58
2020-03-29,80
2020-04-05,100
2020-04-12,96
2020-04-19,62
2020-04-26,47
2020-05-03,47
2020-05-10,61
2020-05-17,61
2020-05-24,43
2020-05-31,51
2020-06-07,49
2020-06-14,47
2020-06-21,44
2020-06-28,52
2020-07-05,49
2020-07-12,39
2020-07-19,37
2020-07-26,48
2020-08-02,45
2020-08-09,45
2020-08-16,33
2020-08-23,35
2020-08-30,43
2020-09-06,35
2020-09-13,29
2020-09-20,29
2020-09-27,37
2020-10-04,38
2020-10-11,41
2020-10-18,38
2020-10-25,38
2020-11-01,45
2020-11-08,48
2020-11-15,35
2020-11-22,25
2020-11-29,38
2020-12-06,35
2020-12-13,31
2020-12-20,28
2020-12-27,40
2021-01-03,48
2021-01-10,50
2021-01-17,49
2021-01-24,41
2021-01-31,41
2021-02-07,39
2021-02-14,50
2021-02-21,81
2021-02-28,52
2021-03-07,41
2021-03-14,30
2021-03-21,28
2021-03-28,32
2021-04-04,35
2021-04-11,34
2021-04-18,32
2021-04-25,28
2021-05-02,31
2021-05-09,29
2021-05-16,32
2021-05-23,95
2021-05-30,76
2021-06-06,50
2021-06-13,41
2021-06-20,46
2021-06-27,49
2021-07-04,43
2021-07-11,49
2021-07-18,43
2021-07-25,42
2021-08-01,49
2021-08-08,52
2021-08-15,62
2021-08-22,46
2021-08-29,60
2021-09-05,56
2021-09-12,44
2021-09-19,38
2021-09-26,43
2021-10-03,40
2021-10-10,38
2021-10-17,32
2021-10-24,32
2021-10-31,39
2021-11-07,34
2021-11-14,36
2021-11-21,30
2021-11-28,42
2021-12-05,38
2021-12-12,33
2021-12-19,27
2021-12-26,33
