Category: All categories

Week,food bank: (Dallas-Ft. Worth TX)
2019-01-06,33
2019-01-13,36
2019-01-20,46
2019-01-27,24
2019-02-03,29
2019-02-10,20
2019-02-17,24
2019-02-24,30
2019-03-03,22
2019-03-10,14
2019-03-17,25
2019-03-24,26
2019-03-31,26
2019-04-07,24
2019-04-14,14
2019-04-21,18
2019-04-28,28
2019-05-05,22
2019-05-12,16
2019-05-19,26
2019-05-26,21
2019-06-02,32
2019-06-09,28
2019-06-16,28
2019-06-23,29
2019-06-30,10
2019-07-07,27
2019-07-14,30
2019-07-21,23
2019-07-28,19
2019-08-04,25
2019-08-11,17
2019-08-18,24
2019-08-25,28
2019-09-01,21
2019-09-08,18
2019-09-15,31
2019-09-22,39
2019-09-29,25
2019-10-06,26
2019-10-13,20
2019-10-20,19
2019-10-27,29
2019-11-03,34
2019-11-10,46
2019-11-17,37
2019-11-24,34
2019-12-01,28
2019-12-08,33
2019-12-15,38
2019-12-22,20
2019-12-29,25
2020-01-05,22
2020-01-12,19
2020-01-19,24
2020-01-26,30
2020-02-02,22
2020-02-09,23
2020-02-16,28
2020-02-23,23
2020-03-01,18
2020-03-08,33
2020-03-15,57
2020-03-22,61
2020-03-29,61
2020-04-05,98
2020-04-12,100
2020-04-19,74
2020-04-26,54
2020-05-03,55
2020-05-10,52
2020-05-17,30
2020-05-24,30
2020-05-31,27
2020-06-07,27
2020-06-14,25
2020-06-21,24
2020-06-28,28
2020-07-05,36
2020-07-12,31
2020-07-19,30
2020-07-26,38
2020-08-02,34
2020-08-09,42
2020-08-16,37
2020-08-23,25
2020-08-30,34
2020-09-06,28
2020-09-13,33
2020-09-20,29
2020-09-27,38
2020-10-04,28
2020-10-11,28
2020-10-18,31
2020-10-25,39
2020-11-01,30
2020-11-08,47
2020-11-15,81
2020-11-22,68
2020-11-29,53
2020-12-06,60
2020-12-13,54
2020-12-20,42
2020-12-27,44
2021-01-03,39
2021-01-10,32
2021-01-17,47
2021-01-24,34
2021-01-31,31
2021-02-07,41
2021-02-14,53
2021-02-21,59
2021-02-28,36
2021-03-07,36
2021-03-14,24
2021-03-21,25
2021-03-28,26
2021-04-04,27
2021-04-11,22
2021-04-18,32
2021-04-25,18
2021-05-02,23
2021-05-09,25
2021-05-16,16
2021-05-23,29
2021-05-30,21
2021-06-06,29
2021-06-13,19
2021-06-20,25
2021-06-27,20
2021-07-04,15
2021-07-11,26
2021-07-18,21
2021-07-25,20
2021-08-01,24
2021-08-08,27
2021-08-15,22
2021-08-22,29
2021-08-29,31
2021-09-05,22
2021-09-12,20
2021-09-19,24
2021-09-26,18
2021-10-03,27
2021-10-10,28
2021-10-17,37
2021-10-24,24
2021-10-31,23
2021-11-07,34
2021-11-14,49
2021-11-21,27
2021-11-28,31
2021-12-05,27
2021-12-12,33
2021-12-19,23
2021-12-26,16
