Category: All categories

Week,food bank: (Houston TX)
2019-01-06,24
2019-01-13,35
2019-01-20,30
2019-01-27,21
2019-02-03,27
2019-02-10,17
2019-02-17,22
2019-02-24,17
2019-03-03,20
2019-03-10,23
2019-03-17,19
2019-03-24,21
2019-03-31,27
2019-04-07,31
2019-04-14,21
2019-04-21,20
2019-04-28,19
2019-05-05,14
2019-05-12,20
2019-05-19,22
2019-05-26,18
2019-06-02,18
2019-06-09,18
2019-06-16,35
2019-06-23,13
2019-06-30,12
2019-07-07,14
2019-07-14,26
2019-07-21,29
2019-07-28,43
2019-08-04,30
2019-08-11,25
2019-08-18,22
2019-08-25,20
2019-09-01,24
2019-09-08,31
2019-09-15,23
2019-09-22,24
2019-09-29,26
2019-10-06,35
2019-10-13,23
2019-10-20,17
2019-10-27,22
2019-11-03,37
2019-11-10,39
2019-11-17,81
2019-11-24,42
2019-12-01,35
2019-12-08,33
2019-12-15,30
2019-12-22,26
2019-12-29,17
2020-01-05,21
2020-01-12,17
2020-01-19,23
2020-01-26,25
2020-02-02,23
2020-02-09,24
2020-02-16,23
2020-02-23,24
2020-03-01,22
2020-03-08,38
2020-03-15,77
2020-03-22,65
2020-03-29,57
2020-04-05,84
2020-04-12,100
2020-04-19,98
2020-04-26,70
2020-05-03,61
2020-05-10,49
2020-05-17,41
2020-05-24,39
2020-05-31,39
2020-06-07,32
2020-06-14,37
2020-06-21,36
2020-06-28,43
2020-07-05,32
2020-07-12,31
2020-07-19,35
2020-07-26,40
2020-08-02,35
2020-08-09,30
2020-08-16,27
2020-08-23,28
2020-08-30,28
2020-09-06,25
2020-09-13,22
2020-09-20,18
2020-09-27,25
2020-10-04,26
2020-10-11,27
2020-10-18,19
2020-10-25,25
2020-11-01,23
2020-11-08,29
2020-11-15,55
2020-11-22,38
2020-11-29,44
2020-12-06,33
2020-12-13,37
2020-12-20,32
2020-12-27,27
2021-01-03,17
2021-01-10,19
2021-01-17,24
2021-01-24,24
2021-01-31,24
2021-02-07,21
2021-02-14,48
2021-02-21,67
2021-02-28,37
2021-03-07,31
2021-03-14,25
2021-03-21,19
2021-03-28,21
2021-04-04,20
2021-04-11,20
2021-04-18,19
2021-04-25,18
2021-05-02,22
2021-05-09,22
2021-05-16,17
2021-05-23,22
2021-05-30,17
2021-06-06,18
2021-06-13,20
2021-06-20,23
2021-06-27,20
2021-07-04,23
2021-07-11,31
2021-07-18,19
2021-07-25,15
2021-08-01,21
2021-08-08,19
2021-08-15,23
2021-08-22,21
2021-08-29,19
2021-09-05,13
2021-09-12,19
2021-09-19,26
2021-09-26,21
2021-10-03,23
2021-10-10,23
2021-10-17,25
2021-10-24,18
2021-10-31,20
2021-11-07,27
2021-11-14,35
2021-11-21,24
2021-11-28,28
2021-12-05,29
2021-12-12,22
2021-12-19,22
2021-12-26,22
