Category: All categories

Week,food bank: (Texas)
2019-01-06,25
2019-01-13,32
2019-01-20,29
2019-01-27,23
2019-02-03,23
2019-02-10,18
2019-02-17,22
2019-02-24,21
2019-03-03,17
2019-03-10,20
2019-03-17,19
2019-03-24,23
2019-03-31,22
2019-04-07,24
2019-04-14,17
2019-04-21,18
2019-04-28,21
2019-05-05,18
2019-05-12,19
2019-05-19,21
2019-05-26,20
2019-06-02,25
2019-06-09,21
2019-06-16,26
2019-06-23,20
2019-06-30,17
2019-07-07,22
2019-07-14,24
2019-07-21,26
2019-07-28,25
2019-08-04,24
2019-08-11,24
2019-08-18,23
2019-08-25,22
2019-09-01,20
2019-09-08,21
2019-09-15,23
2019-09-22,25
2019-09-29,26
2019-10-06,24
2019-10-13,21
2019-10-20,21
2019-10-27,25
2019-11-03,29
2019-11-10,32
2019-11-17,44
2019-11-24,29
2019-12-01,28
2019-12-08,29
2019-12-15,27
2019-12-22,20
2019-12-29,19
2020-01-05,21
2020-01-12,18
2020-01-19,19
2020-01-26,22
2020-02-02,21
2020-02-09,21
2020-02-16,23
2020-02-23,21
2020-03-01,20
2020-03-08,26
2020-03-15,61
2020-03-22,57
2020-03-29,56
2020-04-05,83
2020-04-12,100
2020-04-19,76
2020-04-26,54
2020-05-03,48
2020-05-10,44
2020-05-17,35
2020-05-24,31
2020-05-31,34
2020-06-07,32
2020-06-14,32
2020-06-21,31
2020-06-28,35
2020-07-05,31
2020-07-12,33
2020-07-19,34
2020-07-26,37
2020-08-02,36
2020-08-09,32
2020-08-16,28
2020-08-23,25
2020-08-30,29
2020-09-06,27
2020-09-13,26
2020-09-20,24
2020-09-27,31
2020-10-04,29
2020-10-11,28
2020-10-18,29
2020-10-25,29
2020-11-01,25
2020-11-08,36
2020-11-15,57
2020-11-22,49
2020-11-29,47
2020-12-06,39
2020-12-13,47
2020-12-20,36
2020-12-27,32
2021-01-03,31
2021-01-10,26
2021-01-17,33
2021-01-24,28
2021-01-31,29
2021-02-07,26
2021-02-14,53
2021-02-21,60
2021-02-28,35
2021-03-07,30
2021-03-14,25
2021-03-21,24
2021-03-28,20
2021-04-04,21
2021-04-11,20
2021-04-18,22
2021-04-25,20
2021-05-02,19
2021-05-09,20
2021-05-16,18
2021-05-23,23
2021-05-30,20
2021-06-06,23
2021-06-13,20
2021-06-20,18
2021-06-27,18
2021-07-04,21
2021-07-11,24
2021-07-18,20
2021-07-25,19
2021-08-01,23
2021-08-08,21
2021-08-15,21
2021-08-22,22
2021-08-29,24
2021-09-05,25
2021-09-12,21
2021-09-19,23
2021-09-26,23
2021-10-03,25
2021-10-10,24
2021-10-17,27
2021-10-24,25
2021-10-31,25
2021-11-07,28
2021-11-14,37
2021-11-21,22
2021-11-28,29
2021-12-05,28
2021-12-12,31
2021-12-19,24
2021-12-26,22
