Category: All categories

Week,food stamps: (Austin TX)
2019-01-06,56
2019-01-13,73
2019-01-20,41
2019-01-27,29
2019-02-03,27
2019-02-10,39
2019-02-17,16
2019-02-24,23
2019-03-03,23
2019-03-10,14
2019-03-17,22
2019-03-24,15
2019-03-31,28
2019-04-07,20
2019-04-14,12
2019-04-21,15
2019-04-28,17
2019-05-05,27
2019-05-12,18
2019-05-19,18
2019-05-26,31
2019-06-02,17
2019-06-09,24
2019-06-16,27
2019-06-23,20
2019-06-30,27
2019-07-07,26
2019-07-14,26
2019-07-21,7
2019-07-28,25
2019-08-04,16
2019-08-11,15
2019-08-18,22
2019-08-25,30
2019-09-01,25
2019-09-08,27
2019-09-15,15
2019-09-22,21
2019-09-29,15
2019-10-06,30
2019-10-13,19
2019-10-20,6
2019-10-27,19
2019-11-03,14
2019-11-10,10
2019-11-17,23
2019-11-24,17
2019-12-01,14
2019-12-08,35
2019-12-15,8
2019-12-22,22
2019-12-29,24
2020-01-05,20
2020-01-12,40
2020-01-19,26
2020-01-26,21
2020-02-02,35
2020-02-09,20
2020-02-16,17
2020-02-23,10
2020-03-01,14
2020-03-08,25
2020-03-15,48
2020-03-22,67
2020-03-29,77
2020-04-05,75
2020-04-12,54
2020-04-19,51
2020-04-26,51
2020-05-03,33
2020-05-10,48
2020-05-17,40
2020-05-24,28
2020-05-31,40
2020-06-07,47
2020-06-14,34
2020-06-21,37
2020-06-28,28
2020-07-05,30
2020-07-12,21
2020-07-19,42
2020-07-26,35
2020-08-02,47
2020-08-09,34
2020-08-16,26
2020-08-23,29
2020-08-30,31
2020-09-06,27
2020-09-13,14
2020-09-20,29
2020-09-27,36
2020-10-04,25
2020-10-11,26
2020-10-18,31
2020-10-25,26
2020-11-01,0
2020-11-08,38
2020-11-15,29
2020-11-22,16
2020-11-29,34
2020-12-06,47
2020-12-13,47
2020-12-20,30
2020-12-27,30
2021-01-03,35
2021-01-10,55
2021-01-17,41
2021-01-24,66
2021-01-31,42
2021-02-07,57
2021-02-14,19
2021-02-21,47
2021-02-28,39
2021-03-07,27
2021-03-14,38
2021-03-21,20
2021-03-28,35
2021-04-04,28
2021-04-11,42
2021-04-18,27
2021-04-25,23
2021-05-02,44
2021-05-09,28
2021-05-16,44
2021-05-23,100
2021-05-30,62
2021-06-06,80
2021-06-13,48
2021-06-20,34
2021-06-27,46
2021-07-04,54
2021-07-11,32
2021-07-18,50
2021-07-25,42
2021-08-01,32
2021-08-08,76
2021-08-15,71
2021-08-22,68
2021-08-29,62
2021-09-05,40
2021-09-12,31
2021-09-19,24
2021-09-26,43
2021-10-03,18
2021-10-10,32
2021-10-17,33
2021-10-24,40
2021-10-31,38
2021-11-07,23
2021-11-14,39
2021-11-21,21
2021-11-28,48
2021-12-05,35
2021-12-12,30
2021-12-19,24
2021-12-26,24
