Category: All categories

Week,food stamps: (San Antonio TX)
2019-01-06,30
2019-01-13,48
2019-01-20,26
2019-01-27,19
2019-02-03,18
2019-02-10,16
2019-02-17,25
2019-02-24,9
2019-03-03,19
2019-03-10,0
2019-03-17,12
2019-03-24,10
2019-03-31,22
2019-04-07,16
2019-04-14,10
2019-04-21,8
2019-04-28,20
2019-05-05,20
2019-05-12,18
2019-05-19,12
2019-05-26,14
2019-06-02,16
2019-06-09,17
2019-06-16,24
2019-06-23,20
2019-06-30,26
2019-07-07,16
2019-07-14,20
2019-07-21,27
2019-07-28,14
2019-08-04,20
2019-08-11,29
2019-08-18,19
2019-08-25,13
2019-09-01,28
2019-09-08,19
2019-09-15,14
2019-09-22,15
2019-09-29,18
2019-10-06,19
2019-10-13,18
2019-10-20,14
2019-10-27,18
2019-11-03,24
2019-11-10,18
2019-11-17,10
2019-11-24,7
2019-12-01,20
2019-12-08,17
2019-12-15,12
2019-12-22,8
2019-12-29,21
2020-01-05,25
2020-01-12,15
2020-01-19,21
2020-01-26,13
2020-02-02,22
2020-02-09,16
2020-02-16,7
2020-02-23,10
2020-03-01,15
2020-03-08,20
2020-03-15,43
2020-03-22,36
2020-03-29,45
2020-04-05,72
2020-04-12,66
2020-04-19,36
2020-04-26,46
2020-05-03,32
2020-05-10,48
2020-05-17,42
2020-05-24,34
2020-05-31,38
2020-06-07,43
2020-06-14,36
2020-06-21,35
2020-06-28,37
2020-07-05,33
2020-07-12,32
2020-07-19,36
2020-07-26,37
2020-08-02,31
2020-08-09,35
2020-08-16,28
2020-08-23,26
2020-08-30,26
2020-09-06,28
2020-09-13,24
2020-09-20,20
2020-09-27,30
2020-10-04,32
2020-10-11,28
2020-10-18,33
2020-10-25,24
2020-11-01,31
2020-11-08,38
2020-11-15,30
2020-11-22,21
2020-11-29,30
2020-12-06,23
2020-12-13,16
2020-12-20,22
2020-12-27,24
2021-01-03,20
2021-01-10,29
2021-01-17,39
2021-01-24,26
2021-01-31,38
2021-02-07,31
2021-02-14,32
2021-02-21,38
2021-02-28,38
2021-03-07,28
2021-03-14,22
2021-03-21,16
2021-03-28,24
2021-04-04,15
2021-04-11,17
2021-04-18,26
2021-04-25,19
2021-05-02,20
2021-05-09,20
2021-05-16,18
2021-05-23,100
2021-05-30,65
2021-06-06,26
2021-06-13,28
2021-06-20,44
2021-06-27,40
2021-07-04,45
2021-07-11,39
2021-07-18,38
2021-07-25,27
2021-08-01,39
2021-08-08,33
2021-08-15,49
2021-08-22,27
2021-08-29,46
2021-09-05,41
2021-09-12,31
2021-09-19,24
2021-09-26,33
2021-10-03,21
2021-10-10,29
2021-10-17,27
2021-10-24,14
2021-10-31,34
2021-11-07,24
2021-11-14,37
2021-11-21,27
2021-11-28,40
2021-12-05,34
2021-12-12,38
2021-12-19,21
2021-12-26,24
