Category: All categories

Week,food stamps: (Texas)
2019-01-06,50
2019-01-13,67
2019-01-20,45
2019-01-27,23
2019-02-03,23
2019-02-10,24
2019-02-17,26
2019-02-24,23
2019-03-03,22
2019-03-10,19
2019-03-17,17
2019-03-24,20
2019-03-31,20
2019-04-07,21
2019-04-14,17
2019-04-21,16
2019-04-28,21
2019-05-05,21
2019-05-12,22
2019-05-19,19
2019-05-26,21
2019-06-02,24
2019-06-09,25
2019-06-16,23
2019-06-23,24
2019-06-30,23
2019-07-07,26
2019-07-14,24
2019-07-21,25
2019-07-28,27
2019-08-04,28
2019-08-11,26
2019-08-18,24
2019-08-25,18
2019-09-01,24
2019-09-08,23
2019-09-15,23
2019-09-22,23
2019-09-29,24
2019-10-06,21
2019-10-13,21
2019-10-20,17
2019-10-27,20
2019-11-03,23
2019-11-10,21
2019-11-17,20
2019-11-24,14
2019-12-01,30
2019-12-08,24
2019-12-15,18
2019-12-22,17
2019-12-29,21
2020-01-05,26
2020-01-12,27
2020-01-19,24
2020-01-26,21
2020-02-02,23
2020-02-09,20
2020-02-16,18
2020-02-23,19
2020-03-01,20
2020-03-08,23
2020-03-15,61
2020-03-22,56
2020-03-29,77
2020-04-05,98
2020-04-12,93
2020-04-19,53
2020-04-26,48
2020-05-03,43
2020-05-10,53
2020-05-17,55
2020-05-24,41
2020-05-31,47
2020-06-07,45
2020-06-14,45
2020-06-21,41
2020-06-28,47
2020-07-05,44
2020-07-12,38
2020-07-19,36
2020-07-26,45
2020-08-02,41
2020-08-09,42
2020-08-16,33
2020-08-23,35
2020-08-30,40
2020-09-06,35
2020-09-13,27
2020-09-20,28
2020-09-27,34
2020-10-04,36
2020-10-11,42
2020-10-18,35
2020-10-25,36
2020-11-01,37
2020-11-08,43
2020-11-15,32
2020-11-22,24
2020-11-29,35
2020-12-06,35
2020-12-13,31
2020-12-20,26
2020-12-27,36
2021-01-03,40
2021-01-10,45
2021-01-17,46
2021-01-24,39
2021-01-31,40
2021-02-07,37
2021-02-14,46
2021-02-21,62
2021-02-28,46
2021-03-07,39
2021-03-14,26
2021-03-21,24
2021-03-28,30
2021-04-04,28
2021-04-11,32
2021-04-18,30
2021-04-25,26
2021-05-02,32
2021-05-09,29
2021-05-16,32
2021-05-23,100
2021-05-30,78
2021-06-06,50
2021-06-13,44
2021-06-20,46
2021-06-27,46
2021-07-04,47
2021-07-11,50
2021-07-18,47
2021-07-25,42
2021-08-01,45
2021-08-08,51
2021-08-15,59
2021-08-22,43
2021-08-29,56
2021-09-05,55
2021-09-12,43
2021-09-19,37
2021-09-26,39
2021-10-03,39
2021-10-10,35
2021-10-17,29
2021-10-24,30
2021-10-31,38
2021-11-07,34
2021-11-14,35
2021-11-21,28
2021-11-28,41
2021-12-05,38
2021-12-12,29
2021-12-19,25
2021-12-26,30
