Category: All categories

Week,snap: (Houston TX)
2019-01-06,57
2019-01-13,62
2019-01-20,50
2019-01-27,47
2019-02-03,47
2019-02-10,51
2019-02-17,52
2019-02-24,47
2019-03-03,50
2019-03-10,50
2019-03-17,44
2019-03-24,49
2019-03-31,50
2019-04-07,45
2019-04-14,44
2019-04-21,48
2019-04-28,52
2019-05-05,49
2019-05-12,49
2019-05-19,51
2019-05-26,47
2019-06-02,54
2019-06-09,56
2019-06-16,50
2019-06-23,51
2019-06-30,53
2019-07-07,54
2019-07-14,43
2019-07-21,57
2019-07-28,52
2019-08-04,50
2019-08-11,53
2019-08-18,55
2019-08-25,46
2019-09-01,51
2019-09-08,52
2019-09-15,47
2019-09-22,50
2019-09-29,53
2019-10-06,47
2019-10-13,42
2019-10-20,48
2019-10-27,44
2019-11-03,51
2019-11-10,49
2019-11-17,49
2019-11-24,50
2019-12-01,50
2019-12-08,51
2019-12-15,50
2019-12-22,44
2019-12-29,54
2020-01-05,52
2020-01-12,49
2020-01-19,45
2020-01-26,52
2020-02-02,50
2020-02-09,48
2020-02-16,45
2020-02-23,46
2020-03-01,55
2020-03-08,55
2020-03-15,73
2020-03-22,69
2020-03-29,76
2020-04-05,100
2020-04-12,98
2020-04-19,87
2020-04-26,65
2020-05-03,74
2020-05-10,82
2020-05-17,75
2020-05-24,68
2020-05-31,70
2020-06-07,65
2020-06-14,66
2020-06-21,66
2020-06-28,66
2020-07-05,65
2020-07-12,63
2020-07-19,63
2020-07-26,61
2020-08-02,61
2020-08-09,59
2020-08-16,61
2020-08-23,53
2020-08-30,57
2020-09-06,55
2020-09-13,57
2020-09-20,50
2020-09-27,64
2020-10-04,53
2020-10-11,55
2020-10-18,61
2020-10-25,59
2020-11-01,60
2020-11-08,64
2020-11-15,55
2020-11-22,50
2020-11-29,59
2020-12-06,53
2020-12-13,50
2020-12-20,48
2020-12-27,56
2021-01-03,70
2021-01-10,62
2021-01-17,62
2021-01-24,63
2021-01-31,69
2021-02-07,56
2021-02-14,67
2021-02-21,93
2021-02-28,66
2021-03-07,66
2021-03-14,54
2021-03-21,59
2021-03-28,54
2021-04-04,55
2021-04-11,60
2021-04-18,56
2021-04-25,62
2021-05-02,64
2021-05-09,60
2021-05-16,56
2021-05-23,74
2021-05-30,68
2021-06-06,63
2021-06-13,55
2021-06-20,56
2021-06-27,65
2021-07-04,56
2021-07-11,53
2021-07-18,56
2021-07-25,66
2021-08-01,59
2021-08-08,65
2021-08-15,68
2021-08-22,61
2021-08-29,56
2021-09-05,57
2021-09-12,60
2021-09-19,53
2021-09-26,57
2021-10-03,60
2021-10-10,55
2021-10-17,60
2021-10-24,50
2021-10-31,55
2021-11-07,51
2021-11-14,53
2021-11-21,54
2021-11-28,58
2021-12-05,55
2021-12-12,49
2021-12-19,48
2021-12-26,56
