,region,geoName,geoCode
0,US-AL,Birmingham AL,630
1,US-AL,Columbus GA,522
2,US-AL,Dothan AL,606
3,US-AL,Huntsville-Decatur (Florence) AL,691
4,US-AL,Meridian MS,711
5,US-AL,Mobile AL-Pensacola (Ft. Walton Beach) FL,686
6,US-AL,Montgomery (Selma) AL,698
7,US-AK,Anchorage AK,743
8,US-AK,Fairbanks AK,745
9,US-AK,Juneau AK,747
10,US-AZ,Phoenix AZ,753
11,US-AZ,Tucson (Sierra Vista) AZ,789
12,US-AZ,Yuma AZ-El Centro CA,771
13,US-AR,Ft. Smith-Fayetteville-Springdale-Rogers AR,670
14,US-AR,Jonesboro AR,734
15,US-AR,Little Rock-Pine Bluff AR,693
16,US-AR,Memphis TN,640
17,US-AR,Monroe LA-El Dorado AR,628
18,US-AR,Shreveport LA,612
19,US-AR,Springfield MO,619
20,US-CA,Bakersfield CA,800
21,US-CA,Chico-Redding CA,868
22,US-CA,Eureka CA,802
23,US-CA,Fresno-Visalia CA,866
24,US-CA,Los Angeles CA,803
25,US-CA,Medford-Klamath Falls OR,813
26,US-CA,Monterey-Salinas CA,828
27,US-CA,Palm Springs CA,804
28,US-CA,Reno NV,811
29,US-CA,Sacramento-Stockton-Modesto CA,862
30,US-CA,San Diego CA,825
31,US-CA,San Francisco-Oakland-San Jose CA,807
32,US-CA,Santa Barbara-Santa Maria-San Luis Obispo CA,855
33,US-CA,Yuma AZ-El Centro CA,771
34,US-CO,Colorado Springs-Pueblo CO,752
35,US-CO,Denver CO,751
36,US-CO,Grand Junction-Montrose CO,773
37,US-CT,Hartford & New Haven CT,533
38,US-DE,Philadelphia PA,504
39,US-DE,Salisbury MD,576
40,US-DC,Washington DC (Hagerstown MD),511
41,US-FL,Ft. Myers-Naples FL,571
42,US-FL,Gainesville FL,592
43,US-FL,Jacksonville FL,561
44,US-FL,Miami-Ft. Lauderdale FL,528
45,US-FL,Mobile AL-Pensacola (Ft. Walton Beach) FL,686
46,US-FL,Orlando-Daytona Beach-Melbourne FL,534
47,US-FL,Panama City FL,656
48,US-FL,Tallahassee FL-Thomasville GA,530
49,US-FL,Tampa-St. Petersburg (Sarasota) FL,539
50,US-FL,West Palm Beach-Ft. Pierce FL,548
51,US-GA,Albany GA,525
52,US-GA,Atlanta GA,524
53,US-GA,Augusta GA,520
54,US-GA,Chattanooga TN,575
55,US-GA,Columbus GA,522
56,US-GA,Dothan AL,606
57,US-GA,Jacksonville FL,561
58,US-GA,Macon GA,503
59,US-GA,Savannah GA,507
60,US-GA,Tallahassee FL-Thomasville GA,530
61,US-HI,Honolulu HI,744
62,US-ID,Boise ID,757
63,US-ID,Idaho Falls-Pocatello ID,758
64,US-ID,Spokane WA,881
65,US-ID,Twin Falls ID,760
66,US-IL,Champaign & Springfield-Decatur IL,648
67,US-IL,Chicago IL,602
68,US-IL,Davenport IA-Rock Island-Moline IL,682
69,US-IL,Evansville IN,649
70,US-IL,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632
71,US-IL,Peoria-Bloomington IL,675
72,US-IL,Quincy IL-Hannibal MO-Keokuk IA,717
73,US-IL,Rockford IL,610
74,US-IL,St. Louis MO,609
75,US-IL,Terre Haute IN,581
76,US-IN,Chicago IL,602
77,US-IN,Cincinnati OH,515
78,US-IN,Evansville IN,649
79,US-IN,Ft. Wayne IN,509
80,US-IN,Indianapolis IN,527
81,US-IN,Lafayette IN,582
82,US-IN,Louisville KY,529
83,US-IN,South Bend-Elkhart IN,588
84,US-IN,Terre Haute IN,581
85,US-IA,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637
86,US-IA,Davenport IA-Rock Island-Moline IL,682
87,US-IA,Des Moines-Ames IA,679
88,US-IA,Omaha NE,652
89,US-IA,Ottumwa IA-Kirksville MO,631
90,US-IA,Rochester MN-Mason City IA-Austin MN,611
91,US-IA,Sioux City IA,624
92,US-KS,Joplin MO-Pittsburg KS,603
93,US-KS,Kansas City MO,616
94,US-KS,St. Joseph MO,638
95,US-KS,Topeka KS,605
96,US-KS,Wichita-Hutchinson KS,678
97,US-KY,Bowling Green KY,736
98,US-KY,Charleston-Huntington WV,564
99,US-KY,Cincinnati OH,515
100,US-KY,Evansville IN,649
101,US-KY,Knoxville TN,557
102,US-KY,Lexington KY,541
103,US-KY,Louisville KY,529
104,US-KY,Nashville TN,659
105,US-KY,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632
106,US-KY,Tri-Cities TN-VA,531
107,US-LA,Alexandria LA,644
