,food bank,isPartial,region,metroCode
2020-01-05,73.0,False,US-AL,630
2020-01-12,34.0,False,US-AL,630
2020-01-19,36.0,False,US-AL,630
2020-01-26,36.0,False,US-AL,630
2020-02-02,0.0,False,US-AL,630
2020-02-09,51.0,False,US-AL,630
2020-02-16,0.0,False,US-AL,630
2020-02-23,34.0,False,US-AL,630
2020-03-01,33.0,False,US-AL,630
2020-03-08,100.0,False,US-AL,630
2020-03-15,17.0,False,US-AL,630
2020-03-22,51.0,False,US-AL,630
2020-03-29,84.0,False,US-AL,630
2020-04-05,32.0,False,US-AL,630
2020-04-12,48.0,False,US-AL,630
2020-04-19,63.0,False,US-AL,630
2020-04-26,33.0,False,US-AL,630
2020-05-03,65.0,False,US-AL,630
2020-05-10,17.0,False,US-AL,630
2020-05-17,50.0,False,US-AL,630
2020-05-24,35.0,False,US-AL,630
2020-05-31,50.0,False,US-AL,630
2020-06-07,50.0,False,US-AL,630
2020-06-14,17.0,False,US-AL,630
2020-06-21,17.0,False,US-AL,630
2020-06-28,0.0,False,US-AL,630
2020-07-05,0.0,False,US-AL,630
2020-07-12,53.0,False,US-AL,630
2020-07-19,71.0,False,US-AL,630
2020-07-26,18.0,False,US-AL,630
2020-08-02,36.0,False,US-AL,630
2020-08-09,36.0,False,US-AL,630
2020-08-16,0.0,False,US-AL,630
2020-08-23,33.0,False,US-AL,630
2020-08-30,16.0,False,US-AL,630
2020-09-06,17.0,False,US-AL,630
2020-09-13,32.0,False,US-AL,630
2020-09-20,0.0,False,US-AL,630
2020-09-27,53.0,False,US-AL,630
2020-10-04,35.0,False,US-AL,630
2020-10-11,38.0,False,US-AL,630
2020-10-18,0.0,False,US-AL,630
2020-10-25,58.0,False,US-AL,630
2020-11-01,16.0,False,US-AL,630
2020-11-08,92.0,False,US-AL,630
2020-11-15,0.0,False,US-AL,630
2020-11-22,0.0,False,US-AL,630
2020-11-29,18.0,False,US-AL,630
2020-12-06,0.0,False,US-AL,630
2020-12-13,19.0,False,US-AL,630
2020-12-20,0.0,False,US-AL,630
2020-12-27,19.0,False,US-AL,630
2020-01-05,0.0,False,US-AL,522
2020-01-12,0.0,False,US-AL,522
2020-01-19,23.0,False,US-AL,522
2020-01-26,22.0,False,US-AL,522
2020-02-02,0.0,False,US-AL,522
2020-02-09,0.0,False,US-AL,522
2020-02-16,21.0,False,US-AL,522
2020-02-23,0.0,False,US-AL,522
2020-03-01,0.0,False,US-AL,522
2020-03-08,23.0,False,US-AL,522
2020-03-15,0.0,False,US-AL,522
2020-03-22,0.0,False,US-AL,522
2020-03-29,21.0,False,US-AL,522
2020-04-05,21.0,False,US-AL,522
2020-04-12,100.0,False,US-AL,522
2020-04-19,20.0,False,US-AL,522
2020-04-26,0.0,False,US-AL,522
2020-05-03,42.0,False,US-AL,522
2020-05-10,0.0,False,US-AL,522
2020-05-17,21.0,False,US-AL,522
2020-05-24,0.0,False,US-AL,522
2020-05-31,22.0,False,US-AL,522
2020-06-07,0.0,False,US-AL,522
2020-06-14,45.0,False,US-AL,522
2020-06-21,22.0,False,US-AL,522
2020-06-28,0.0,False,US-AL,522
2020-07-05,0.0,False,US-AL,522
2020-07-12,0.0,False,US-AL,522
2020-07-19,0.0,False,US-AL,522
2020-07-26,0.0,False,US-AL,522
2020-08-02,0.0,False,US-AL,522
2020-08-09,0.0,False,US-AL,522
2020-08-16,0.0,False,US-AL,522
2020-08-23,0.0,False,US-AL,522
2020-08-30,0.0,False,US-AL,522
2020-09-06,43.0,False,US-AL,522
2020-09-13,20.0,False,US-AL,522
2020-09-20,0.0,False,US-AL,522
2020-09-27,21.0,False,US-AL,522
2020-10-04,21.0,False,US-AL,522
2020-10-11,22.0,False,US-AL,522
2020-10-18,0.0,False,US-AL,522
2020-10-25,22.0,False,US-AL,522
2020-11-01,0.0,False,US-AL,522
2020-11-08,22.0,False,US-AL,522
2020-11-15,0.0,False,US-AL,522
2020-11-22,0.0,False,US-AL,522
2020-11-29,22.0,False,US-AL,522
2020-12-06,0.0,False,US-AL,522
2020-12-13,0.0,False,US-AL,522
2020-12-20,0.0,False,US-AL,522
2020-12-27,0.0,False,US-AL,522
2020-01-05,0.0,False,US-AL,606
2020-01-12,0.0,False,US-AL,606
2020-01-19,0.0,False,US-AL,606
2020-01-26,0.0,False,US-AL,606
2020-02-02,0.0,False,US-AL,606
2020-02-09,0.0,False,US-AL,606
2020-02-16,0.0,False,US-AL,606
2020-02-23,0.0,False,US-AL,606
2020-03-01,0.0,False,US-AL,606
2020-03-08,0.0,False,US-AL,606
2020-03-15,0.0,False,US-AL,606
2020-03-22,90.0,False,US-AL,606
2020-03-29,84.0,False,US-AL,606
2020-04-05,84.0,False,US-AL,606
2020-04-12,80.0,False,US-AL,606
2020-04-19,0.0,False,US-AL,606
2020-04-26,0.0,False,US-AL,606
2020-05-03,0.0,False,US-AL,606
2020-05-10,0.0,False,US-AL,606
2020-05-17,0.0,False,US-AL,606
2020-05-24,0.0,False,US-AL,606
2020-05-31,0.0,False,US-AL,606
2020-06-07,0.0,False,US-AL,606
2020-06-14,0.0,False,US-AL,606
2020-06-21,0.0,False,US-AL,606
2020-06-28,94.0,False,US-AL,606
2020-07-05,0.0,False,US-AL,606
2020-07-12,0.0,False,US-AL,606
2020-07-19,0.0,False,US-AL,606
2020-07-26,0.0,False,US-AL,606
2020-08-02,0.0,False,US-AL,606
2020-08-09,95.0,False,US-AL,606
2020-08-16,0.0,False,US-AL,606
2020-08-23,0.0,False,US-AL,606
2020-08-30,93.0,False,US-AL,606
2020-09-06,94.0,False,US-AL,606
2020-09-13,0.0,False,US-AL,606
2020-09-20,0.0,False,US-AL,606
2020-09-27,95.0,False,US-AL,606
2020-10-04,100.0,False,US-AL,606
2020-10-11,0.0,False,US-AL,606
2020-10-18,0.0,False,US-AL,606
2020-10-25,0.0,False,US-AL,606
