,region,metroCode,food bank
2020-01-05,US-AL,630,73.0
2020-01-12,US-AL,630,34.0
2020-01-19,US-AL,630,36.0
2020-01-26,US-AL,630,36.0
2020-02-02,US-AL,630,0.0
2020-02-09,US-AL,630,51.0
2020-02-16,US-AL,630,0.0
2020-02-23,US-AL,630,34.0
2020-03-01,US-AL,630,33.0
2020-03-08,US-AL,630,100.0
2020-03-15,US-AL,630,17.0
2020-03-22,US-AL,630,51.0
2020-03-29,US-AL,630,84.0
2020-04-05,US-AL,630,32.0
2020-04-12,US-AL,630,48.0
2020-04-19,US-AL,630,63.0
2020-04-26,US-AL,630,33.0
2020-05-03,US-AL,630,65.0
2020-05-10,US-AL,630,17.0
2020-05-17,US-AL,630,50.0
2020-05-24,US-AL,630,35.0
2020-05-31,US-AL,630,50.0
2020-06-07,US-AL,630,50.0
2020-06-14,US-AL,630,17.0
2020-06-21,US-AL,630,17.0
2020-06-28,US-AL,630,0.0
2020-07-05,US-AL,630,0.0
2020-07-12,US-AL,630,53.0
2020-07-19,US-AL,630,71.0
2020-07-26,US-AL,630,18.0
2020-08-02,US-AL,630,36.0
2020-08-09,US-AL,630,36.0
2020-08-16,US-AL,630,0.0
2020-08-23,US-AL,630,33.0
2020-08-30,US-AL,630,16.0
2020-09-06,US-AL,630,17.0
2020-09-13,US-AL,630,32.0
2020-09-20,US-AL,630,0.0
2020-09-27,US-AL,630,53.0
2020-10-04,US-AL,630,35.0
2020-10-11,US-AL,630,38.0
2020-10-18,US-AL,630,0.0
2020-10-25,US-AL,630,58.0
2020-11-01,US-AL,630,16.0
2020-11-08,US-AL,630,92.0
2020-11-15,US-AL,630,0.0
2020-11-22,US-AL,630,0.0
2020-11-29,US-AL,630,18.0
2020-12-06,US-AL,630,0.0
2020-12-13,US-AL,630,19.0
2020-12-20,US-AL,630,0.0
2020-12-27,US-AL,630,19.0
2020-01-05,US-AL,522,0.0
2020-01-12,US-AL,522,0.0
2020-01-19,US-AL,522,23.0
2020-01-26,US-AL,522,22.0
2020-02-02,US-AL,522,0.0
2020-02-09,US-AL,522,0.0
2020-02-16,US-AL,522,21.0
2020-02-23,US-AL,522,0.0
2020-03-01,US-AL,522,0.0
2020-03-08,US-AL,522,23.0
2020-03-15,US-AL,522,0.0
2020-03-22,US-AL,522,0.0
2020-03-29,US-AL,522,21.0
2020-04-05,US-AL,522,21.0
2020-04-12,US-AL,522,100.0
2020-04-19,US-AL,522,20.0
2020-04-26,US-AL,522,0.0
2020-05-03,US-AL,522,42.0
2020-05-10,US-AL,522,0.0
2020-05-17,US-AL,522,21.0
2020-05-24,US-AL,522,0.0
2020-05-31,US-AL,522,22.0
2020-06-07,US-AL,522,0.0
2020-06-14,US-AL,522,45.0
2020-06-21,US-AL,522,22.0
2020-06-28,US-AL,522,0.0
2020-07-05,US-AL,522,0.0
2020-07-12,US-AL,522,0.0
2020-07-19,US-AL,522,0.0
2020-07-26,US-AL,522,0.0
2020-08-02,US-AL,522,0.0
2020-08-09,US-AL,522,0.0
2020-08-16,US-AL,522,0.0
2020-08-23,US-AL,522,0.0
2020-08-30,US-AL,522,0.0
2020-09-06,US-AL,522,43.0
2020-09-13,US-AL,522,20.0
2020-09-20,US-AL,522,0.0
2020-09-27,US-AL,522,21.0
2020-10-04,US-AL,522,21.0
2020-10-11,US-AL,522,22.0
2020-10-18,US-AL,522,0.0
2020-10-25,US-AL,522,22.0
2020-11-01,US-AL,522,0.0
2020-11-08,US-AL,522,22.0
2020-11-15,US-AL,522,0.0
2020-11-22,US-AL,522,0.0
2020-11-29,US-AL,522,22.0
2020-12-06,US-AL,522,0.0
2020-12-13,US-AL,522,0.0
2020-12-20,US-AL,522,0.0
2020-12-27,US-AL,522,0.0
2020-01-05,US-AL,606,0.0
2020-01-12,US-AL,606,0.0
2020-01-19,US-AL,606,0.0
2020-01-26,US-AL,606,0.0
2020-02-02,US-AL,606,0.0
2020-02-09,US-AL,606,0.0
2020-02-16,US-AL,606,0.0
2020-02-23,US-AL,606,0.0
2020-03-01,US-AL,606,0.0
2020-03-08,US-AL,606,0.0
2020-03-15,US-AL,606,0.0
2020-03-22,US-AL,606,90.0
2020-03-29,US-AL,606,84.0
2020-04-05,US-AL,606,84.0
2020-04-12,US-AL,606,80.0
2020-04-19,US-AL,606,0.0
2020-04-26,US-AL,606,0.0
2020-05-03,US-AL,606,0.0
2020-05-10,US-AL,606,0.0
2020-05-17,US-AL,606,0.0
2020-05-24,US-AL,606,0.0
2020-05-31,US-AL,606,0.0
2020-06-07,US-AL,606,0.0
2020-06-14,US-AL,606,0.0
2020-06-21,US-AL,606,0.0
2020-06-28,US-AL,606,94.0
2020-07-05,US-AL,606,0.0
2020-07-12,US-AL,606,0.0
2020-07-19,US-AL,606,0.0
2020-07-26,US-AL,606,0.0
2020-08-02,US-AL,606,0.0
2020-08-09,US-AL,606,95.0
2020-08-16,US-AL,606,0.0
2020-08-23,US-AL,606,0.0
2020-08-30,US-AL,606,93.0
2020-09-06,US-AL,606,94.0
2020-09-13,US-AL,606,0.0
2020-09-20,US-AL,606,0.0
2020-09-27,US-AL,606,95.0
2020-10-04,US-AL,606,100.0
2020-10-11,US-AL,606,0.0
2020-10-18,US-AL,606,0.0
2020-10-25,US-AL,606,0.0
2020-11-01,US-AL,606,0.0
2020-11-08,US-AL,606,0.0
2020-11-15,US-AL,606,0.0
2020-11-22,US-AL,606,0.0
2020-11-29,US-AL,606,0.0
2020-12-06,US-AL,606,0.0
2020-12-13,US-AL,606,0.0
2020-12-20,US-AL,606,0.0
2020-12-27,US-AL,606,0.0
2020-01-05,US-AL,691,30.0
2020-01-12,US-AL,691,0.0
2020-01-19,US-AL,691,0.0
2020-01-26,US-AL,691,0.0
2020-02-02,US-AL,691,29.0
2020-02-09,US-AL,691,0.0
2020-02-16,US-AL,691,29.0
2020-02-23,US-AL,691,0.0
2020-03-01,US-AL,691,0.0
2020-03-08,US-AL,691,0.0
2020-03-15,US-AL,691,28.0
2020-03-22,US-AL,691,27.0
2020-03-29,US-AL,691,27.0
2020-04-05,US-AL,691,26.0
2020-04-12,US-AL,691,100.0
2020-04-19,US-AL,691,50.0
2020-04-26,US-AL,691,26.0
2020-05-03,US-AL,691,26.0
2020-05-10,US-AL,691,27.0
2020-05-17,US-AL,691,54.0
2020-05-24,US-AL,691,0.0
2020-05-31,US-AL,691,55.0
2020-06-07,US-AL,691,0.0
2020-06-14,US-AL,691,29.0
2020-06-21,US-AL,691,57.0
2020-06-28,US-AL,691,0.0
2020-07-05,US-AL,691,0.0
2020-07-12,US-AL,691,0.0
2020-07-19,US-AL,691,0.0
2020-07-26,US-AL,691,30.0
2020-08-02,US-AL,691,30.0
2020-08-09,US-AL,691,0.0
2020-08-16,US-AL,691,28.0
2020-08-23,US-AL,691,27.0
2020-08-30,US-AL,691,0.0
2020-09-06,US-AL,691,0.0
2020-09-13,US-AL,691,28.0
2020-09-20,US-AL,691,0.0
2020-09-27,US-AL,691,0.0
2020-10-04,US-AL,691,0.0
2020-10-11,US-AL,691,0.0
2020-10-18,US-AL,691,0.0
2020-10-25,US-AL,691,33.0
2020-11-01,US-AL,691,0.0
2020-11-08,US-AL,691,63.0
2020-11-15,US-AL,691,65.0
2020-11-22,US-AL,691,32.0
2020-11-29,US-AL,691,0.0
2020-12-06,US-AL,691,0.0
2020-12-13,US-AL,691,0.0
2020-12-20,US-AL,691,0.0
2020-12-27,US-AL,691,0.0
2020-01-05,US-AL,686,71.0
2020-01-12,US-AL,686,0.0
2020-01-19,US-AL,686,23.0
2020-01-26,US-AL,686,0.0
2020-02-02,US-AL,686,68.0
2020-02-09,US-AL,686,27.0
2020-02-16,US-AL,686,34.0
2020-02-23,US-AL,686,0.0
2020-03-01,US-AL,686,0.0
2020-03-08,US-AL,686,0.0
2020-03-15,US-AL,686,21.0
2020-03-22,US-AL,686,21.0
2020-03-29,US-AL,686,20.0
2020-04-05,US-AL,686,20.0
2020-04-12,US-AL,686,19.0
2020-04-19,US-AL,686,0.0
2020-04-26,US-AL,686,20.0
2020-05-03,US-AL,686,39.0
2020-05-10,US-AL,686,20.0
2020-05-17,US-AL,686,0.0
2020-05-24,US-AL,686,0.0
2020-05-31,US-AL,686,0.0
2020-06-07,US-AL,686,0.0
2020-06-14,US-AL,686,0.0
2020-06-21,US-AL,686,40.0
2020-06-28,US-AL,686,20.0
2020-07-05,US-AL,686,41.0
2020-07-12,US-AL,686,0.0
2020-07-19,US-AL,686,21.0
2020-07-26,US-AL,686,43.0
2020-08-02,US-AL,686,21.0
2020-08-09,US-AL,686,44.0
2020-08-16,US-AL,686,22.0
2020-08-23,US-AL,686,21.0
2020-08-30,US-AL,686,21.0
2020-09-06,US-AL,686,0.0
2020-09-13,US-AL,686,0.0
2020-09-20,US-AL,686,0.0
2020-09-27,US-AL,686,46.0
2020-10-04,US-AL,686,0.0
2020-10-11,US-AL,686,25.0
2020-10-18,US-AL,686,0.0
2020-10-25,US-AL,686,0.0
2020-11-01,US-AL,686,0.0
2020-11-08,US-AL,686,0.0
2020-11-15,US-AL,686,100.0
2020-11-22,US-AL,686,24.0
2020-11-29,US-AL,686,0.0
2020-12-06,US-AL,686,24.0
2020-12-13,US-AL,686,48.0
2020-12-20,US-AL,686,0.0
2020-12-27,US-AL,686,0.0
2020-01-05,US-AL,698,37.0
2020-01-12,US-AL,698,34.0
2020-01-19,US-AL,698,0.0
2020-01-26,US-AL,698,0.0
2020-02-02,US-AL,698,10.0
2020-02-09,US-AL,698,22.0
2020-02-16,US-AL,698,35.0
2020-02-23,US-AL,698,0.0
2020-03-01,US-AL,698,0.0
2020-03-08,US-AL,698,70.0
2020-03-15,US-AL,698,0.0
2020-03-22,US-AL,698,34.0
2020-03-29,US-AL,698,0.0
2020-04-05,US-AL,698,31.0
2020-04-12,US-AL,698,31.0
2020-04-19,US-AL,698,0.0
2020-04-26,US-AL,698,32.0
2020-05-03,US-AL,698,63.0
2020-05-10,US-AL,698,0.0
2020-05-17,US-AL,698,0.0
2020-05-24,US-AL,698,67.0
2020-05-31,US-AL,698,0.0
2020-06-07,US-AL,698,0.0
2020-06-14,US-AL,698,100.0
2020-06-21,US-AL,698,0.0
2020-06-28,US-AL,698,0.0
2020-07-05,US-AL,698,35.0
2020-07-12,US-AL,698,0.0
2020-07-19,US-AL,698,35.0
2020-07-26,US-AL,698,0.0
2020-08-02,US-AL,698,0.0
2020-08-09,US-AL,698,0.0
2020-08-16,US-AL,698,0.0
2020-08-23,US-AL,698,0.0
2020-08-30,US-AL,698,0.0
2020-09-06,US-AL,698,0.0
2020-09-13,US-AL,698,32.0
2020-09-20,US-AL,698,33.0
2020-09-27,US-AL,698,34.0
2020-10-04,US-AL,698,35.0
2020-10-11,US-AL,698,0.0
2020-10-18,US-AL,698,0.0
2020-10-25,US-AL,698,0.0
2020-11-01,US-AL,698,0.0
2020-11-08,US-AL,698,0.0
2020-11-15,US-AL,698,0.0
2020-11-22,US-AL,698,38.0
2020-11-29,US-AL,698,0.0
2020-12-06,US-AL,698,37.0
2020-12-13,US-AL,698,0.0
2020-12-20,US-AL,698,0.0
2020-12-27,US-AL,698,37.0
2020-01-05,US-AK,743,43.0
2020-01-12,US-AK,743,43.0
2020-01-19,US-AK,743,0.0
2020-01-26,US-AK,743,0.0
2020-02-02,US-AK,743,65.0
2020-02-09,US-AK,743,0.0
2020-02-16,US-AK,743,21.0
2020-02-23,US-AK,743,0.0
2020-03-01,US-AK,743,0.0
2020-03-08,US-AK,743,21.0
2020-03-15,US-AK,743,39.0
2020-03-22,US-AK,743,54.0
2020-03-29,US-AK,743,17.0
2020-04-05,US-AK,743,71.0
2020-04-12,US-AK,743,34.0
2020-04-19,US-AK,743,52.0
2020-04-26,US-AK,743,54.0
2020-05-03,US-AK,743,18.0
2020-05-10,US-AK,743,0.0
2020-05-17,US-AK,743,0.0
2020-05-24,US-AK,743,39.0
2020-05-31,US-AK,743,0.0
2020-06-07,US-AK,743,0.0
2020-06-14,US-AK,743,0.0
2020-06-21,US-AK,743,0.0
2020-06-28,US-AK,743,63.0
2020-07-05,US-AK,743,40.0
2020-07-12,US-AK,743,21.0
2020-07-19,US-AK,743,20.0
2020-07-26,US-AK,743,21.0
2020-08-02,US-AK,743,61.0
2020-08-09,US-AK,743,21.0
2020-08-16,US-AK,743,20.0
2020-08-23,US-AK,743,78.0
2020-08-30,US-AK,743,100.0
2020-09-06,US-AK,743,42.0
2020-09-13,US-AK,743,0.0
2020-09-20,US-AK,743,20.0
2020-09-27,US-AK,743,21.0
2020-10-04,US-AK,743,0.0
2020-10-11,US-AK,743,0.0
2020-10-18,US-AK,743,0.0
2020-10-25,US-AK,743,24.0
2020-11-01,US-AK,743,19.0
2020-11-08,US-AK,743,23.0
2020-11-15,US-AK,743,94.0
2020-11-22,US-AK,743,0.0
2020-11-29,US-AK,743,46.0
2020-12-06,US-AK,743,24.0
2020-12-13,US-AK,743,24.0
2020-12-20,US-AK,743,0.0
2020-12-27,US-AK,743,0.0
2020-01-05,US-AK,745,52.0
2020-01-12,US-AK,745,0.0
2020-01-19,US-AK,745,0.0
2020-01-26,US-AK,745,0.0
2020-02-02,US-AK,745,0.0
2020-02-09,US-AK,745,0.0
2020-02-16,US-AK,745,0.0
2020-02-23,US-AK,745,0.0
2020-03-01,US-AK,745,47.0
