,snap,isPartial,region,metroCode
2020-01-05,42.0,False,US-AL,630
2020-01-12,100.0,False,US-AL,630
2020-01-19,48.0,False,US-AL,630
2020-01-26,52.0,False,US-AL,630
2020-02-02,59.0,False,US-AL,630
2020-02-09,45.0,False,US-AL,630
2020-02-16,30.0,False,US-AL,630
2020-02-23,44.0,False,US-AL,630
2020-03-01,53.0,False,US-AL,630
2020-03-08,49.0,False,US-AL,630
2020-03-15,41.0,False,US-AL,630
2020-03-22,90.0,False,US-AL,630
2020-03-29,69.0,False,US-AL,630
2020-04-05,95.0,False,US-AL,630
2020-04-12,64.0,False,US-AL,630
2020-04-19,50.0,False,US-AL,630
2020-04-26,61.0,False,US-AL,630
2020-05-03,79.0,False,US-AL,630
2020-05-10,58.0,False,US-AL,630
2020-05-17,93.0,False,US-AL,630
2020-05-24,30.0,False,US-AL,630
2020-05-31,73.0,False,US-AL,630
2020-06-07,73.0,False,US-AL,630
2020-06-14,35.0,False,US-AL,630
2020-06-21,45.0,False,US-AL,630
2020-06-28,52.0,False,US-AL,630
2020-07-05,57.0,False,US-AL,630
2020-07-12,46.0,False,US-AL,630
2020-07-19,52.0,False,US-AL,630
2020-07-26,52.0,False,US-AL,630
2020-08-02,62.0,False,US-AL,630
2020-08-09,99.0,False,US-AL,630
2020-08-16,40.0,False,US-AL,630
2020-08-23,33.0,False,US-AL,630
2020-08-30,43.0,False,US-AL,630
2020-09-06,39.0,False,US-AL,630
2020-09-13,42.0,False,US-AL,630
2020-09-20,43.0,False,US-AL,630
2020-09-27,46.0,False,US-AL,630
2020-10-04,31.0,False,US-AL,630
2020-10-11,72.0,False,US-AL,630
2020-10-18,49.0,False,US-AL,630
2020-10-25,57.0,False,US-AL,630
2020-11-01,55.0,False,US-AL,630
2020-11-08,58.0,False,US-AL,630
2020-11-15,77.0,False,US-AL,630
2020-11-22,57.0,False,US-AL,630
2020-11-29,69.0,False,US-AL,630
2020-12-06,32.0,False,US-AL,630
2020-12-13,50.0,False,US-AL,630
2020-12-20,41.0,False,US-AL,630
2020-12-27,55.0,False,US-AL,630
2020-01-05,0.0,False,US-AL,606
2020-01-12,32.0,False,US-AL,606
2020-01-19,34.0,False,US-AL,606
2020-01-26,34.0,False,US-AL,606
2020-02-02,34.0,False,US-AL,606
2020-02-09,34.0,False,US-AL,606
2020-02-16,0.0,False,US-AL,606
2020-02-23,32.0,False,US-AL,606
2020-03-01,0.0,False,US-AL,606
2020-03-08,32.0,False,US-AL,606
2020-03-15,61.0,False,US-AL,606
2020-03-22,30.0,False,US-AL,606
2020-03-29,0.0,False,US-AL,606
2020-04-05,86.0,False,US-AL,606
2020-04-12,28.0,False,US-AL,606
2020-04-19,84.0,False,US-AL,606
2020-04-26,86.0,False,US-AL,606
2020-05-03,0.0,False,US-AL,606
2020-05-10,29.0,False,US-AL,606
2020-05-17,0.0,False,US-AL,606
2020-05-24,59.0,False,US-AL,606
2020-05-31,30.0,False,US-AL,606
2020-06-07,30.0,False,US-AL,606
2020-06-14,62.0,False,US-AL,606
2020-06-21,31.0,False,US-AL,606
2020-06-28,32.0,False,US-AL,606
2020-07-05,67.0,False,US-AL,606
2020-07-12,0.0,False,US-AL,606
2020-07-19,65.0,False,US-AL,606
2020-07-26,0.0,False,US-AL,606
2020-08-02,0.0,False,US-AL,606
2020-08-09,0.0,False,US-AL,606
2020-08-16,67.0,False,US-AL,606
2020-08-23,0.0,False,US-AL,606
2020-08-30,31.0,False,US-AL,606
2020-09-06,65.0,False,US-AL,606
2020-09-13,94.0,False,US-AL,606
2020-09-20,0.0,False,US-AL,606
2020-09-27,0.0,False,US-AL,606
2020-10-04,0.0,False,US-AL,606
2020-10-11,0.0,False,US-AL,606
2020-10-18,35.0,False,US-AL,606
2020-10-25,0.0,False,US-AL,606
2020-11-01,58.0,False,US-AL,606
2020-11-08,35.0,False,US-AL,606
2020-11-15,36.0,False,US-AL,606
2020-11-22,36.0,False,US-AL,606
2020-11-29,0.0,False,US-AL,606
2020-12-06,100.0,False,US-AL,606
2020-12-13,34.0,False,US-AL,606
2020-12-20,0.0,False,US-AL,606
2020-12-27,66.0,False,US-AL,606
2020-01-05,25.0,False,US-AL,691
2020-01-12,56.0,False,US-AL,691
2020-01-19,43.0,False,US-AL,691
2020-01-26,34.0,False,US-AL,691
2020-02-02,41.0,False,US-AL,691
2020-02-09,0.0,False,US-AL,691
2020-02-16,33.0,False,US-AL,691
2020-02-23,40.0,False,US-AL,691
2020-03-01,24.0,False,US-AL,691
2020-03-08,24.0,False,US-AL,691
2020-03-15,55.0,False,US-AL,691
2020-03-22,30.0,False,US-AL,691
2020-03-29,68.0,False,US-AL,691
2020-04-05,51.0,False,US-AL,691
2020-04-12,28.0,False,US-AL,691
2020-04-19,70.0,False,US-AL,691
2020-04-26,51.0,False,US-AL,691
2020-05-03,36.0,False,US-AL,691
2020-05-10,46.0,False,US-AL,691
2020-05-17,38.0,False,US-AL,691
2020-05-24,40.0,False,US-AL,691
2020-05-31,100.0,False,US-AL,691
2020-06-07,47.0,False,US-AL,691
2020-06-14,57.0,False,US-AL,691
2020-06-21,64.0,False,US-AL,691
2020-06-28,57.0,False,US-AL,691
2020-07-05,51.0,False,US-AL,691
2020-07-12,34.0,False,US-AL,691
2020-07-19,50.0,False,US-AL,691
2020-07-26,34.0,False,US-AL,691
2020-08-02,51.0,False,US-AL,691
2020-08-09,50.0,False,US-AL,691
2020-08-16,48.0,False,US-AL,691
2020-08-23,53.0,False,US-AL,691
2020-08-30,38.0,False,US-AL,691
2020-09-06,64.0,False,US-AL,691
2020-09-13,31.0,False,US-AL,691
2020-09-20,8.0,False,US-AL,691
2020-09-27,33.0,False,US-AL,691
2020-10-04,36.0,False,US-AL,691
2020-10-11,28.0,False,US-AL,691
2020-10-18,9.0,False,US-AL,691
2020-10-25,54.0,False,US-AL,691
2020-11-01,53.0,False,US-AL,691
2020-11-08,61.0,False,US-AL,691
2020-11-15,54.0,False,US-AL,691
2020-11-22,18.0,False,US-AL,691
2020-11-29,51.0,False,US-AL,691
2020-12-06,52.0,False,US-AL,691
2020-12-13,26.0,False,US-AL,691
2020-12-20,63.0,False,US-AL,691
2020-12-27,43.0,False,US-AL,691
2020-01-05,0.0,False,US-AL,711
2020-01-12,0.0,False,US-AL,711
2020-01-19,0.0,False,US-AL,711
2020-01-26,0.0,False,US-AL,711
2020-02-02,0.0,False,US-AL,711
2020-02-09,0.0,False,US-AL,711
2020-02-16,0.0,False,US-AL,711
