Category: All categories

Week,food pantry: (Dallas-Ft. Worth TX)
2019-01-06,54
2019-01-13,52
2019-01-20,54
2019-01-27,39
2019-02-03,41
2019-02-10,42
2019-02-17,55
2019-02-24,38
2019-03-03,26
2019-03-10,33
2019-03-17,34
2019-03-24,41
2019-03-31,33
2019-04-07,35
2019-04-14,27
2019-04-21,34
2019-04-28,53
2019-05-05,31
2019-05-12,39
2019-05-19,53
2019-05-26,53
2019-06-02,51
2019-06-09,41
2019-06-16,41
2019-06-23,45
2019-06-30,39
2019-07-07,42
2019-07-14,43
2019-07-21,57
2019-07-28,69
2019-08-04,45
2019-08-11,52
2019-08-18,42
2019-08-25,75
2019-09-01,41
2019-09-08,37
2019-09-15,60
2019-09-22,67
2019-09-29,49
2019-10-06,60
2019-10-13,27
2019-10-20,69
2019-10-27,48
2019-11-03,49
2019-11-10,78
2019-11-17,74
2019-11-24,43
2019-12-01,64
2019-12-08,51
2019-12-15,77
2019-12-22,35
2019-12-29,43
2020-01-05,41
2020-01-12,28
2020-01-19,67
2020-01-26,71
2020-02-02,52
2020-02-09,39
2020-02-16,38
2020-02-23,43
2020-03-01,42
2020-03-08,48
2020-03-15,100
2020-03-22,91
2020-03-29,90
2020-04-05,95
2020-04-12,95
2020-04-19,77
2020-04-26,50
2020-05-03,55
2020-05-10,60
2020-05-17,62
2020-05-24,50
2020-05-31,70
2020-06-07,63
2020-06-14,39
2020-06-21,49
2020-06-28,45
2020-07-05,53
2020-07-12,49
2020-07-19,45
2020-07-26,42
2020-08-02,58
2020-08-09,35
2020-08-16,50
2020-08-23,43
2020-08-30,47
2020-09-06,47
2020-09-13,52
2020-09-20,38
2020-09-27,41
2020-10-04,40
2020-10-11,63
2020-10-18,53
2020-10-25,45
2020-11-01,56
2020-11-08,73
2020-11-15,90
2020-11-22,63
2020-11-29,66
2020-12-06,65
2020-12-13,84
2020-12-20,46
2020-12-27,44
2021-01-03,34
2021-01-10,46
2021-01-17,49
2021-01-24,43
2021-01-31,34
2021-02-07,55
2021-02-14,51
2021-02-21,90
2021-02-28,29
2021-03-07,65
2021-03-14,28
2021-03-21,19
2021-03-28,29
2021-04-04,29
2021-04-11,15
2021-04-18,51
2021-04-25,26
2021-05-02,33
2021-05-09,39
2021-05-16,38
2021-05-23,25
2021-05-30,43
2021-06-06,40
2021-06-13,46
2021-06-20,29
2021-06-27,26
2021-07-04,30
2021-07-11,32
2021-07-18,38
2021-07-25,24
2021-08-01,41
2021-08-08,47
2021-08-15,46
2021-08-22,50
2021-08-29,53
2021-09-05,33
2021-09-12,23
2021-09-19,36
2021-09-26,60
2021-10-03,32
2021-10-10,25
2021-10-17,41
2021-10-24,37
2021-10-31,66
2021-11-07,61
2021-11-14,82
2021-11-21,47
2021-11-28,60
2021-12-05,77
2021-12-12,39
2021-12-19,21
2021-12-26,21
