Category: All categories

Week,food stamps: (Dallas-Ft. Worth TX)
2019-01-06,58
2019-01-13,72
2019-01-20,50
2019-01-27,30
2019-02-03,24
2019-02-10,21
2019-02-17,31
2019-02-24,26
2019-03-03,25
2019-03-10,19
2019-03-17,15
2019-03-24,27
2019-03-31,29
2019-04-07,22
2019-04-14,19
2019-04-21,18
2019-04-28,28
2019-05-05,23
2019-05-12,29
2019-05-19,21
2019-05-26,21
2019-06-02,29
2019-06-09,25
2019-06-16,23
2019-06-23,26
2019-06-30,23
2019-07-07,29
2019-07-14,28
2019-07-21,32
2019-07-28,32
2019-08-04,31
2019-08-11,26
2019-08-18,22
2019-08-25,24
2019-09-01,26
2019-09-08,25
2019-09-15,22
2019-09-22,21
2019-09-29,29
2019-10-06,21
2019-10-13,22
2019-10-20,20
2019-10-27,19
2019-11-03,32
2019-11-10,23
2019-11-17,25
2019-11-24,25
2019-12-01,36
2019-12-08,31
2019-12-15,18
2019-12-22,20
2019-12-29,24
2020-01-05,25
2020-01-12,34
2020-01-19,32
2020-01-26,18
2020-02-02,26
2020-02-09,24
2020-02-16,23
2020-02-23,23
2020-03-01,21
2020-03-08,25
2020-03-15,57
2020-03-22,50
2020-03-29,94
2020-04-05,100
2020-04-12,93
2020-04-19,52
2020-04-26,50
2020-05-03,44
2020-05-10,55
2020-05-17,63
2020-05-24,48
2020-05-31,47
2020-06-07,48
2020-06-14,41
2020-06-21,35
2020-06-28,45
2020-07-05,41
2020-07-12,41
2020-07-19,34
2020-07-26,41
2020-08-02,42
2020-08-09,39
2020-08-16,40
2020-08-23,43
2020-08-30,52
2020-09-06,46
2020-09-13,32
2020-09-20,31
2020-09-27,29
2020-10-04,52
2020-10-11,50
2020-10-18,39
2020-10-25,38
2020-11-01,39
2020-11-08,41
2020-11-15,33
2020-11-22,30
2020-11-29,38
2020-12-06,41
2020-12-13,37
2020-12-20,30
2020-12-27,40
2021-01-03,43
2021-01-10,50
2021-01-17,51
2021-01-24,39
2021-01-31,39
2021-02-07,40
2021-02-14,43
2021-02-21,56
2021-02-28,48
2021-03-07,49
2021-03-14,29
2021-03-21,32
2021-03-28,34
2021-04-04,29
2021-04-11,29
2021-04-18,34
2021-04-25,27
2021-05-02,36
2021-05-09,32
2021-05-16,32
2021-05-23,99
2021-05-30,83
2021-06-06,51
2021-06-13,45
2021-06-20,55
2021-06-27,56
2021-07-04,45
2021-07-11,56
2021-07-18,47
2021-07-25,46
2021-08-01,45
2021-08-08,56
2021-08-15,63
2021-08-22,46
2021-08-29,68
2021-09-05,59
2021-09-12,45
2021-09-19,42
2021-09-26,51
2021-10-03,48
2021-10-10,39
2021-10-17,36
2021-10-24,31
2021-10-31,42
2021-11-07,37
2021-11-14,35
2021-11-21,28
2021-11-28,40
2021-12-05,50
2021-12-12,31
2021-12-19,21
2021-12-26,29
