Category: All categories

Week,snap: (Dallas-Ft. Worth TX)
2019-01-06,77
2019-01-13,69
2019-01-20,72
2019-01-27,77
2019-02-03,73
2019-02-10,70
2019-02-17,64
2019-02-24,68
2019-03-03,67
2019-03-10,64
2019-03-17,62
2019-03-24,61
2019-03-31,64
2019-04-07,71
2019-04-14,68
2019-04-21,71
2019-04-28,62
2019-05-05,61
2019-05-12,67
2019-05-19,67
2019-05-26,71
2019-06-02,73
2019-06-09,67
2019-06-16,64
2019-06-23,64
2019-06-30,62
2019-07-07,72
2019-07-14,67
2019-07-21,74
2019-07-28,72
2019-08-04,68
2019-08-11,71
2019-08-18,67
2019-08-25,66
2019-09-01,67
2019-09-08,67
2019-09-15,60
2019-09-22,69
2019-09-29,65
2019-10-06,70
2019-10-13,65
2019-10-20,59
2019-10-27,64
2019-11-03,67
2019-11-10,71
2019-11-17,64
2019-11-24,62
2019-12-01,66
2019-12-08,59
2019-12-15,72
2019-12-22,64
2019-12-29,75
2020-01-05,80
2020-01-12,68
2020-01-19,74
2020-01-26,66
2020-02-02,57
2020-02-09,71
2020-02-16,75
2020-02-23,73
2020-03-01,72
2020-03-08,63
2020-03-15,80
2020-03-22,80
2020-03-29,94
2020-04-05,99
2020-04-12,91
2020-04-19,100
2020-04-26,78
2020-05-03,77
2020-05-10,84
2020-05-17,88
2020-05-24,83
2020-05-31,84
2020-06-07,69
2020-06-14,92
2020-06-21,82
2020-06-28,72
2020-07-05,80
2020-07-12,82
2020-07-19,82
2020-07-26,78
2020-08-02,78
2020-08-09,80
2020-08-16,77
2020-08-23,73
2020-08-30,87
2020-09-06,74
2020-09-13,68
2020-09-20,81
2020-09-27,74
2020-10-04,71
2020-10-11,77
2020-10-18,73
2020-10-25,80
2020-11-01,67
2020-11-08,77
2020-11-15,70
2020-11-22,67
2020-11-29,66
2020-12-06,73
2020-12-13,68
2020-12-20,66
2020-12-27,79
2021-01-03,86
2021-01-10,94
2021-01-17,81
2021-01-24,87
2021-01-31,81
2021-02-07,83
2021-02-14,77
2021-02-21,91
2021-02-28,85
2021-03-07,77
2021-03-14,79
2021-03-21,66
2021-03-28,68
2021-04-04,78
2021-04-11,79
2021-04-18,75
2021-04-25,90
2021-05-02,89
2021-05-09,73
2021-05-16,72
2021-05-23,93
2021-05-30,85
2021-06-06,76
2021-06-13,67
2021-06-20,69
2021-06-27,78
2021-07-04,71
2021-07-11,66
2021-07-18,72
2021-07-25,93
2021-08-01,76
2021-08-08,86
2021-08-15,82
2021-08-22,71
2021-08-29,77
2021-09-05,82
2021-09-12,73
2021-09-19,75
2021-09-26,80
2021-10-03,73
2021-10-10,79
2021-10-17,80
2021-10-24,81
2021-10-31,72
2021-11-07,71
2021-11-14,73
2021-11-21,77
2021-11-28,67
2021-12-05,77
2021-12-12,80
2021-12-19,74
2021-12-26,73
