Category: All categories

Week,Supplemental Nutrition Assistance Program: (Houston TX)
2019-01-06,40
2019-01-13,50
2019-01-20,31
2019-01-27,21
2019-02-03,20
2019-02-10,23
2019-02-17,25
2019-02-24,20
2019-03-03,21
2019-03-10,22
2019-03-17,19
2019-03-24,20
2019-03-31,19
2019-04-07,19
2019-04-14,16
2019-04-21,16
2019-04-28,17
2019-05-05,19
2019-05-12,17
2019-05-19,20
2019-05-26,22
2019-06-02,22
2019-06-09,22
2019-06-16,20
2019-06-23,21
2019-06-30,24
2019-07-07,27
2019-07-14,20
2019-07-21,22
2019-07-28,24
2019-08-04,23
2019-08-11,24
2019-08-18,23
2019-08-25,20
2019-09-01,25
2019-09-08,22
2019-09-15,24
2019-09-22,22
2019-09-29,21
2019-10-06,21
2019-10-13,21
2019-10-20,17
2019-10-27,18
2019-11-03,21
2019-11-10,20
2019-11-17,20
2019-11-24,14
2019-12-01,30
2019-12-08,22
2019-12-15,18
2019-12-22,18
2019-12-29,22
2020-01-05,21
2020-01-12,26
2020-01-19,18
2020-01-26,20
2020-02-02,20
2020-02-09,18
2020-02-16,19
2020-02-23,15
2020-03-01,20
2020-03-08,23
2020-03-15,67
2020-03-22,65
2020-03-29,75
2020-04-05,97
2020-04-12,100
2020-04-19,67
2020-04-26,49
2020-05-03,47
2020-05-10,58
2020-05-17,53
2020-05-24,39
2020-05-31,47
2020-06-07,42
2020-06-14,39
2020-06-21,40
2020-06-28,48
2020-07-05,42
2020-07-12,32
2020-07-19,34
2020-07-26,34
2020-08-02,32
2020-08-09,38
2020-08-16,33
2020-08-23,32
2020-08-30,34
2020-09-06,30
2020-09-13,28
2020-09-20,23
2020-09-27,36
2020-10-04,32
2020-10-11,33
2020-10-18,32
2020-10-25,29
2020-11-01,35
2020-11-08,45
2020-11-15,32
2020-11-22,24
2020-11-29,39
2020-12-06,32
2020-12-13,30
2020-12-20,21
2020-12-27,32
2021-01-03,40
2021-01-10,40
2021-01-17,40
2021-01-24,37
2021-01-31,39
2021-02-07,36
2021-02-14,52
2021-02-21,85
2021-02-28,48
2021-03-07,36
2021-03-14,27
2021-03-21,24
2021-03-28,29
2021-04-04,28
2021-04-11,29
2021-04-18,30
2021-04-25,26
2021-05-02,24
2021-05-09,28
2021-05-16,28
2021-05-23,70
2021-05-30,57
2021-06-06,47
2021-06-13,37
2021-06-20,39
2021-06-27,39
2021-07-04,37
2021-07-11,43
2021-07-18,36
2021-07-25,39
2021-08-01,45
2021-08-08,46
2021-08-15,55
2021-08-22,41
2021-08-29,55
2021-09-05,55
2021-09-12,44
2021-09-19,33
2021-09-26,32
2021-10-03,35
2021-10-10,32
2021-10-17,27
2021-10-24,27
2021-10-31,30
2021-11-07,28
2021-11-14,31
2021-11-21,28
2021-11-28,36
2021-12-05,31
2021-12-12,26
2021-12-19,22
2021-12-26,33
