Category: All categories

Week,food pantry: (Houston TX)
2019-01-06,31
2019-01-13,38
2019-01-20,23
2019-01-27,10
2019-02-03,34
2019-02-10,34
2019-02-17,23
2019-02-24,35
2019-03-03,22
2019-03-10,21
2019-03-17,13
2019-03-24,0
2019-03-31,26
2019-04-07,33
2019-04-14,29
2019-04-21,26
2019-04-28,18
2019-05-05,45
2019-05-12,33
2019-05-19,19
2019-05-26,28
2019-06-02,32
2019-06-09,41
2019-06-16,18
2019-06-23,42
2019-06-30,19
2019-07-07,0
2019-07-14,25
2019-07-21,19
2019-07-28,14
2019-08-04,34
2019-08-11,19
2019-08-18,28
2019-08-25,61
2019-09-01,42
2019-09-08,23
2019-09-15,17
2019-09-22,40
2019-09-29,52
2019-10-06,33
2019-10-13,28
2019-10-20,10
2019-10-27,21
2019-11-03,31
2019-11-10,35
2019-11-17,17
2019-11-24,35
2019-12-01,36
2019-12-08,24
2019-12-15,22
2019-12-22,18
2019-12-29,25
2020-01-05,27
2020-01-12,23
2020-01-19,48
2020-01-26,27
2020-02-02,34
2020-02-09,28
2020-02-16,23
2020-02-23,40
2020-03-01,36
2020-03-08,34
2020-03-15,96
2020-03-22,100
2020-03-29,71
2020-04-05,54
2020-04-12,69
2020-04-19,42
2020-04-26,51
2020-05-03,40
2020-05-10,28
2020-05-17,13
2020-05-24,28
2020-05-31,20
2020-06-07,27
2020-06-14,25
2020-06-21,44
2020-06-28,32
2020-07-05,25
2020-07-12,39
2020-07-19,31
2020-07-26,39
2020-08-02,32
2020-08-09,23
2020-08-16,28
2020-08-23,40
2020-08-30,20
2020-09-06,23
2020-09-13,17
2020-09-20,39
2020-09-27,29
2020-10-04,33
2020-10-11,36
2020-10-18,38
2020-10-25,39
2020-11-01,38
2020-11-08,41
2020-11-15,42
2020-11-22,39
2020-11-29,27
2020-12-06,20
2020-12-13,57
2020-12-20,33
2020-12-27,38
2021-01-03,38
2021-01-10,30
2021-01-17,27
2021-01-24,24
2021-01-31,26
2021-02-07,38
2021-02-14,34
2021-02-21,28
2021-02-28,23
2021-03-07,19
2021-03-14,23
2021-03-21,21
2021-03-28,16
2021-04-04,19
2021-04-11,15
2021-04-18,15
2021-04-25,12
2021-05-02,16
2021-05-09,12
2021-05-16,10
2021-05-23,12
2021-05-30,17
2021-06-06,22
2021-06-13,13
2021-06-20,24
2021-06-27,15
2021-07-04,5
2021-07-11,14
2021-07-18,19
2021-07-25,29
2021-08-01,0
2021-08-08,22
2021-08-15,24
2021-08-22,33
2021-08-29,31
2021-09-05,14
2021-09-12,26
2021-09-19,22
2021-09-26,27
2021-10-03,30
2021-10-10,18
2021-10-17,22
2021-10-24,23
2021-10-31,34
2021-11-07,32
2021-11-14,68
2021-11-21,38
2021-11-28,28
2021-12-05,22
2021-12-12,8
2021-12-19,38
2021-12-26,20
