Category: All categories

Week,snap: (San Antonio TX)
2019-01-06,48
2019-01-13,54
2019-01-20,48
2019-01-27,48
2019-02-03,51
2019-02-10,45
2019-02-17,55
2019-02-24,51
2019-03-03,42
2019-03-10,39
2019-03-17,44
2019-03-24,48
2019-03-31,47
2019-04-07,39
2019-04-14,46
2019-04-21,41
2019-04-28,53
2019-05-05,57
2019-05-12,43
2019-05-19,47
2019-05-26,57
2019-06-02,47
2019-06-09,59
2019-06-16,49
2019-06-23,40
2019-06-30,50
2019-07-07,49
2019-07-14,41
2019-07-21,35
2019-07-28,54
2019-08-04,45
2019-08-11,55
2019-08-18,54
2019-08-25,50
2019-09-01,50
2019-09-08,58
2019-09-15,35
2019-09-22,41
2019-09-29,46
2019-10-06,50
2019-10-13,51
2019-10-20,49
2019-10-27,41
2019-11-03,44
2019-11-10,41
2019-11-17,58
2019-11-24,44
2019-12-01,45
2019-12-08,55
2019-12-15,49
2019-12-22,48
2019-12-29,51
2020-01-05,48
2020-01-12,43
2020-01-19,36
2020-01-26,50
2020-02-02,51
2020-02-09,44
2020-02-16,48
2020-02-23,50
2020-03-01,41
2020-03-08,53
2020-03-15,49
2020-03-22,65
2020-03-29,71
2020-04-05,74
2020-04-12,75
2020-04-19,69
2020-04-26,63
2020-05-03,47
2020-05-10,70
2020-05-17,75
2020-05-24,61
2020-05-31,72
2020-06-07,67
2020-06-14,80
2020-06-21,66
2020-06-28,59
2020-07-05,61
2020-07-12,57
2020-07-19,66
2020-07-26,63
2020-08-02,51
2020-08-09,54
2020-08-16,47
2020-08-23,53
2020-08-30,68
2020-09-06,52
2020-09-13,46
2020-09-20,58
2020-09-27,53
2020-10-04,57
2020-10-11,41
2020-10-18,60
2020-10-25,69
2020-11-01,53
2020-11-08,67
2020-11-15,52
2020-11-22,40
2020-11-29,64
2020-12-06,53
2020-12-13,52
2020-12-20,45
2020-12-27,61
2021-01-03,62
2021-01-10,64
2021-01-17,74
2021-01-24,65
2021-01-31,57
2021-02-07,68
2021-02-14,56
2021-02-21,100
2021-02-28,68
2021-03-07,62
2021-03-14,55
2021-03-21,52
2021-03-28,48
2021-04-04,57
2021-04-11,49
2021-04-18,54
2021-04-25,76
2021-05-02,72
2021-05-09,61
2021-05-16,56
2021-05-23,76
2021-05-30,66
2021-06-06,57
2021-06-13,62
2021-06-20,53
2021-06-27,65
2021-07-04,69
2021-07-11,68
2021-07-18,50
2021-07-25,71
2021-08-01,67
2021-08-08,58
2021-08-15,68
2021-08-22,56
2021-08-29,58
2021-09-05,52
2021-09-12,56
2021-09-19,57
2021-09-26,62
2021-10-03,62
2021-10-10,61
2021-10-17,57
2021-10-24,54
2021-10-31,54
2021-11-07,53
2021-11-14,48
2021-11-21,54
2021-11-28,67
2021-12-05,59
2021-12-12,51
2021-12-19,59
2021-12-26,51
