Category: All categories

Week,snap: (Texas)
2019-01-06,64
2019-01-13,68
2019-01-20,59
2019-01-27,60
2019-02-03,60
2019-02-10,56
2019-02-17,57
2019-02-24,57
2019-03-03,54
2019-03-10,55
2019-03-17,54
2019-03-24,55
2019-03-31,56
2019-04-07,56
2019-04-14,54
2019-04-21,53
2019-04-28,58
2019-05-05,57
2019-05-12,57
2019-05-19,57
2019-05-26,59
2019-06-02,62
2019-06-09,60
2019-06-16,58
2019-06-23,57
2019-06-30,57
2019-07-07,60
2019-07-14,51
2019-07-21,60
2019-07-28,59
2019-08-04,57
2019-08-11,61
2019-08-18,57
2019-08-25,54
2019-09-01,57
2019-09-08,55
2019-09-15,51
2019-09-22,54
2019-09-29,55
2019-10-06,54
2019-10-13,54
2019-10-20,54
2019-10-27,52
2019-11-03,55
2019-11-10,53
2019-11-17,54
2019-11-24,52
2019-12-01,56
2019-12-08,54
2019-12-15,57
2019-12-22,54
2019-12-29,62
2020-01-05,60
2020-01-12,58
2020-01-19,55
2020-01-26,57
2020-02-02,55
2020-02-09,57
2020-02-16,57
2020-02-23,57
2020-03-01,58
2020-03-08,56
2020-03-15,73
2020-03-22,70
2020-03-29,84
2020-04-05,100
2020-04-12,93
2020-04-19,87
2020-04-26,71
2020-05-03,73
2020-05-10,85
2020-05-17,83
2020-05-24,72
2020-05-31,74
2020-06-07,73
2020-06-14,80
2020-06-21,76
2020-06-28,72
2020-07-05,71
2020-07-12,71
2020-07-19,72
2020-07-26,74
2020-08-02,72
2020-08-09,72
2020-08-16,68
2020-08-23,62
2020-08-30,72
2020-09-06,65
2020-09-13,58
2020-09-20,62
2020-09-27,71
2020-10-04,62
2020-10-11,64
2020-10-18,66
2020-10-25,64
2020-11-01,65
2020-11-08,68
2020-11-15,61
2020-11-22,57
2020-11-29,65
2020-12-06,63
2020-12-13,59
2020-12-20,56
2020-12-27,70
2021-01-03,75
2021-01-10,80
2021-01-17,77
2021-01-24,73
2021-01-31,74
2021-02-07,65
2021-02-14,71
2021-02-21,99
2021-02-28,76
2021-03-07,70
2021-03-14,64
2021-03-21,63
2021-03-28,61
2021-04-04,66
2021-04-11,68
2021-04-18,64
2021-04-25,78
2021-05-02,82
2021-05-09,61
2021-05-16,63
2021-05-23,86
2021-05-30,80
2021-06-06,70
2021-06-13,63
2021-06-20,63
2021-06-27,67
2021-07-04,66
2021-07-11,64
2021-07-18,63
2021-07-25,82
2021-08-01,69
2021-08-08,72
2021-08-15,75
2021-08-22,64
2021-08-29,68
2021-09-05,67
2021-09-12,66
2021-09-19,66
2021-09-26,65
2021-10-03,67
2021-10-10,66
2021-10-17,67
2021-10-24,62
2021-10-31,62
2021-11-07,61
2021-11-14,64
2021-11-21,64
2021-11-28,64
2021-12-05,62
2021-12-12,61
2021-12-19,61
2021-12-26,63
